index	input_data_loc	output_data_loc
301908	Tables 1, 2, Figure 2 and PDB 3ZDX	['table 1', 'table 2', 'figure 2', 'pdb 3zdx']
301967	Tables 1, 2, Figure 6 and PDB 4NIK	['table 1', 'table 2', 'figure 6', 'pdb 4nik']
302303	Tables 1, 2, Figures 1, 3, 4, 5, 6, S1 and PDB 4I48	['table 1', 'table 2', 'figure 1', 'figure 3', 'figure 4', 'figure 5', 'figure 6', 'figure s1', 'pdb 4i48']
303148	Tables 1, Figures 5 and PDB 4G9F	['table 1', 'figure 5', 'pdb 4g9f']
303697	Tables 1-2, Figures 2, 3, 4 and 5	['table 1', 'table 2', 'figure 2', 'figure 3', 'figure 4', 'figure 5']
303740	Tables 1-5 and Figures 1 and 2.	['table 1', 'table 5', 'figure 1', 'figure 2']
304619	Tables 2, 3, figures 4 and 5	['table 2', 'table 3', 'figure 4', 'figure 5']
305064	Tables 2-4	['table 2', 'table 4']
305468	Tables 3, 5	['table 3', 'table 5']
306594	Tables I, II. III, IV	['table 1', 'table 2', 'table 3', 'table 4']
306642	Tables I, III, and V, Figures 2, 4, and 5	['table 1', 'table 3', 'table 5', 'figure 2', 'figure 4', 'figure 5']
306819	Tables II and V	['table 2', 'table 5']
307331	Tables S1, S2, and author provided	['table s1', 'table s2', 'author provided']
307847	Text p 257	['page 257']
308087	Text p. 1549	['page 1549']
308212	Text p. 2377	['page 2377']
308408	text p. 489, Figure 3	['page 489', 'figure 3']
308436	Text P. 544	['page 544']
308688	Text p.2	['page 2']
309148	Text page 19764-5	['page 19764', 'page 5']
309153	Text page 199	['agep 199']
309435	Text page 372	['page 372']
309600	Text page 519	['page 519']
309631	Text page 55	['page 55']
309828	Text page 870	['page 870']
309840	Text page 903	['page 903']
