mhc_elution_id	h_age
3464763	old
3464764	young and old
3464765	old
3464949	young and old
3464951	old
3464952	young and old
3464953	old
3464954	young and old
3464955	old
3464956	young and old
3464957	old
3464958	young and old
3464959	old
3464960	young and old
3465141	old
3465142	young and old
3465143	old
3465144	young and old
3465145	old
3465146	young and old
3465147	old
3465148	young and old
3465149	old
3465150	young and old
3465152	young and old
3465335	old
3465336	young and old
3465337	old
3465338	young and old
3465339	old
3465340	young and old
3465341	old
3465342	young and old
3465343	old
3465344	young and old
3465345	old
3465346	young and old
3465447	old
3465448	young and old
3465449	old
3465450	young and old
3465451	old
3465452	young and old
3465453	old
3465454	young and old
3465455	old
3465456	young and old
3465457	old
3465458	young and old
3463844	young and old
3463845	old
3463846	young and old
3463847	old
3463848	young and old
3463849	old
3463850	young and old
3463851	old
3463852	young and old
3463853	old
3463854	young and old
3463855	old
3464034	old
3464035	young and old
3464036	old
3464037	young and old
3464038	old
3464039	young and old
3464040	old
3464041	young and old
3464042	old
3464043	young and old
3464044	old
3464045	young and old
3464226	young and old
3464227	old
3464228	young and old
3464229	old
3464230	young and old
3464231	old
3464232	young and old
3464233	old
3464234	young and old
3464235	old
3464236	young and old
3464237	old
3464433	young and old
3464434	old
3464435	young and old
3464436	old
3464437	young and old
3464439	old
3464440	young and old
3464441	old
3464442	young and old
3464444	old
3464572	old
3464573	young and old
3464574	old
3464575	young and old
3464576	old
3464577	young and old
3464578	old
3464579	young and old
3464580	old
3464581	young and old
3464582	old
3464583	young and old
3464766	young and old
3464767	old
3464768	young and old
3464769	old
3464770	young and old
3464771	old
3464772	young and old
3464773	old
3464774	young and old
3464775	old
3464776	young and old
3464777	old
3464961	old
3464962	young and old
3464963	old
3464964	young and old
3464965	old
3464966	young and old
3464967	old
3464968	young and old
3464969	old
3464970	young and old
3464971	old
3464972	young and old
3465153	old
3465154	young and old
3465155	old
3465156	young and old
3465157	old
3465158	young and old
3465159	old
3465160	young and old
3465161	old
3465162	young and old
3465163	old
3465164	young and old
3465347	old
3465348	young and old
3465349	old
3465350	young and old
3465351	old
3465352	young and old
3465353	old
3465354	young and old
3465355	old
3465356	young and old
3465357	old
3465358	young and old
3465459	old
3465460	young and old
3465461	old
3465462	young and old
3465463	old
3465464	young and old
3465465	old
3465466	young and old
3465467	old
3465468	young and old
3465469	old
3465470	young and old
3463856	young and old
3463857	old
3463858	young and old
3463859	old
3463860	young and old
3463861	old
3463862	young and old
3463863	old
3463864	young and old
3463865	old
3463866	young and old
3463867	old
3464046	old
3464047	young and old
3464048	old
3464049	young and old
3464050	old
3464051	young and old
3464052	old
3464053	young and old
3464054	old
3464055	young and old
3464056	old
3464238	young and old
3464239	old
3464240	young and old
3464241	old
3464242	young and old
3464243	old
3464244	young and old
3464245	old
3464246	young and old
3464247	old
3464248	young and old
3464249	old
3464445	young and old
3464446	old
3464447	young and old
3464448	old
3464449	young and old
3464450	old
3464451	young and old
3464452	old
3464453	young and old
3464454	old
3464455	young and old
3464456	old
3464584	old
3464585	young and old
3464586	old
3464587	young and old
3464588	old
3464589	young and old
3464590	old
3464591	young and old
3464592	old
3464593	young and old
3464594	old
3464595	young and old
3464778	young and old
3464780	old
3464781	young and old
3464783	old
3464784	young and old
3464785	old
3464786	young and old
3464788	old
3464789	young and old
3464790	old
3464973	old
3464974	young and old
3464975	old
3464976	young and old
3464977	old
3464978	young and old
3464979	old
3464980	young and old
3464981	old
3464982	young and old
3464983	old
3464984	young and old
3465165	old
3465166	young and old
3465167	old
3465168	young and old
3465169	old
3465170	young and old
3465171	old
3465172	young and old
3465173	old
3465174	young and old
3465175	old
3465176	young and old
3465359	old
3465360	young and old
3465361	old
3465362	young and old
3465363	old
3465364	young and old
3465365	old
3465366	young and old
3465367	old
3465368	young and old
3465369	old
3465370	young and old
3465471	old
3465472	young and old
3465473	old
3465474	young and old
3465475	old
3465476	young and old
3465477	old
3465478	young and old
3465479	old
3465480	young and old
3465481	old
3465482	young and old
3463868	young and old
3463869	old
3463870	young and old
3463872	old
3463873	young and old
3463874	old
3463875	young and old
3463876	old
3463877	young and old
3463878	old
3463879	young and old
3464057	young and old
3464058	old
3464059	young and old
3464060	old
3464061	young and old
3464062	old
3464063	young and old
3464064	old
3464065	young and old
3464066	old
3464067	young and old
3464068	old
3464250	young and old
3464251	old
3464252	young and old
3464253	old
3464254	young and old
3464255	old
3464256	young and old
3464257	old
3464258	young and old
3464259	old
3464260	young and old
3464261	old
3464457	young and old
3464458	old
3464459	young and old
3464460	old
3464461	young and old
3464463	old
3464464	young and old
3464465	old
3464466	young and old
3464467	old
3464468	young and old
3464596	old
3464597	young and old
3464598	old
