mhc_elution_id	h_age
3959179	adult
3959405	adult
3959406	adult
3959408	adult
3959409	adult
3959415	adult
3959653	adult
3959654	adult
3959866	adult
3959870	adult
3959871	adult
3959872	adult
3959873	adult
3959875	adult
3959877	adult
3960122	adult
3958440	adult
3958446	adult
3958448	adult
3958688	adult
3958923	adult
3958926	adult
3959192	adult
3959195	adult
3959197	adult
3959199	adult
3959201	adult
3959202	adult
3959205	adult
3959418	adult
3959419	adult
3959421	adult
3959424	adult
3959426	adult
3959427	adult
3959428	adult
3959416	adult
3959658	adult
3959656	adult
3959883	adult
3959887	adult
3959889	adult
3959879	adult
3959880	adult
3959892	adult
3960125	adult
3960127	adult
3960137	adult
3960138	adult
3960139	adult
3958452	adult
3958456	adult
3958460	adult
3958467	adult
3958702	adult
3958703	adult
3958939	adult
3958941	adult
3958942	adult
3958952	adult
3959207	adult
3959210	adult
3959213	adult
3959220	adult
3959433	adult
3959434	adult
3959435	adult
3959438	adult
3959429	adult
3959440	adult
3959442	adult
3959895	adult
3959897	adult
3959898	adult
3959899	adult
3959900	adult
3960141	adult
3960142	adult
3960143	adult
3960144	adult
3960145	adult
3960146	adult
3958477	adult
3958483	adult
3958969	adult
3959222	adult
3959223	adult
3959224	adult
3959225	adult
3959227	adult
3959229	adult
3959230	adult
3959232	adult
3959233	adult
3959446	adult
3959448	adult
3959450	adult
3959451	adult
3959452	adult
3959453	adult
3959444	adult
3959454	adult
3959455	adult
3959910	adult
3959911	adult
3959913	adult
3959922	adult
3960164	adult
3960167	adult
3958485	adult
3958486	adult
3958488	adult
3958491	adult
3958493	adult
3958740	adult
3958978	adult
3958980	adult
3958981	adult
3958983	adult
3959236	adult
3959237	adult
3959238	adult
3959240	adult
3959242	adult
3959243	adult
3959245	adult
3959458	adult
3959460	adult
3959463	adult
3959464	adult
3959465	adult
3959466	adult
3959456	adult
3959467	adult
3959468	adult
3959709	adult
3959712	adult
3959714	adult
3959715	adult
3959718	adult
3959926	adult
3959928	adult
3959930	adult
3959931	adult
3959924	adult
3959934	adult
3960170	adult
3960175	adult
3960176	adult
3960177	adult
3960178	adult
3960182	adult
3958501	adult
3958506	adult
3958510	adult
3958748	adult
3958757	adult
3958996	adult
3958999	adult
3959248	adult
3959252	adult
3959257	adult
3959469	adult
3959471	adult
3959474	adult
3959477	adult
3959478	adult
3959723	adult
3959725	adult
3959726	adult
3959731	adult
3959734	adult
3959940	adult
3959943	adult
3959947	adult
3959937	adult
3960184	adult
3960185	adult
3960186	adult
3960190	adult
3960192	adult
3960196	adult
3960197	adult
3958521	adult
3958524	adult
3958528	adult
3958760	adult
3958762	adult
3958766	adult
3958767	adult
3958770	adult
3958773	adult
3959011	adult
3959016	adult
3959264	adult
3959265	adult
3959266	adult
3959270	adult
3959272	adult
3959273	adult
3959276	adult
3959494	adult
3959484	adult
3959499	adult
3959738	adult
3959739	adult
3959740	adult
3959741	adult
3959742	adult
3959746	adult
3959748	adult
3959749	adult
3959954	adult
3959958	adult
3959960	adult
3959962	adult
3960207	adult
3960208	adult
3960198	adult
3960209	adult
3960212	adult
3958538	adult
3958543	adult
3958778	adult
3958781	adult
3958784	adult
3958787	adult
3959019	adult
3959024	adult
3959026	adult
3959031	adult
3959033	adult
3959279	adult
3959280	adult
3959284	adult
3959285	adult
3959286	adult
3959290	adult
3959503	adult
3959506	adult
3959500	adult
3959513	adult
3959750	adult
3959751	adult
3959752	adult
3959753	adult
3959754	adult
3959755	adult
3959757	adult
3959760	adult
3959761	adult
3959969	adult
3959970	adult
3959971	adult
3959972	adult
3959976	adult
3959967	adult
3959978	adult
3960219	adult
3960222	adult
3960223	adult
3960214	adult
3960226	adult
3958550	adult
3958551	adult
3958553	adult
3958554	adult
3958556	adult
3958557	adult
3958558	adult
3958789	adult
3958790	adult
3958796	adult
3958798	adult
3958800	adult
3958801	adult
3958802	adult
3959034	adult
3959045	adult
3959291	adult
3959292	adult
3959294	adult
3959296	adult
3959297	adult
3959299	adult
3959302	adult
3959304	adult
3959517	adult
3959524	adult
3959515	adult
3959516	adult
3959527	adult
3959764	adult
3959765	adult
3959766	adult
3959767	adult
3959762	adult
3959763	adult
3959985	adult
3959987	adult
3959988	adult
3959989	adult
3959992	adult
3959995	adult
3960229	adult
3960231	adult
3960232	adult
3960233	adult
3960235	adult
3960227	adult
3960228	adult
3960239	adult
3958572	adult
3958577	adult
3958803	adult
3958808	adult
3958812	adult
3958815	adult
3958816	adult
3959309	adult
3959311	adult
3959312	adult
