bcell_id	h_age
4829709	adult
5032176	adult
5032177	adult
5032178	adult
5032179	adult
4072642	1 week
4072641	1 week
3838847	8 week
3838848	8 week
3838849	8 week
3838850	8 week
3838851	8 week
3838929	8 week
3838928	8 week
3838930	8 week
3838931	8 week
3926056	young
3926057	young
3955140	1 week
3838856	8 week
5719448	adult
5719449	adult
5719450	adult
5719451	adult
5719452	adult
5719453	adult
5719454	adult
5719455	adult
5719456	adult
5719457	adult
5719458	adult
5719415	adult
5719420	adult
5719411	adult
5719412	adult
5719413	adult
5719414	adult
5719416	adult
5719417	adult
5719418	adult
5719419	adult
5719444	adult
5719445	adult
5719446	adult
5719447	adult
5719407	adult
5719323	adult
5719324	neonate
5719325	adult
5719465	neonate
5719441	neonate
5719442	neonate
5719443	neonate
5719462	neonate
5719463	adult
5719460	adult
5719464	adult
5719408	neonate
5719409	adult
5719410	neonate
6286859	adult
6286860	adult
6286862	adult
6286863	adult
6286864	adult
5719421	adult
5719422	adult
5719423	adult
5719426	neonate
5719427	neonate
5719425	neonate
5719428	neonate
5719431	neonate
5719429	neonate
5719430	neonate
5719432	neonate
5719433	neonate
5719434	neonate
5719435	neonate
5719436	neonate
5719437	neonate
5719438	neonate
5719439	neonate
6421439	1 year
6421440	1 year
6421441	1 year
6421442	1 year
6421443	1 year
6421444	1 year
6421445	1 year
6421446	1 year
6421447	1 year
6421448	1 year
6421450	1 year
6421451	1 year
6421452	1 year
6421453	1 year
6421454	1 year
6421455	1 year
6421456	1 year
6421457	1 year
6421458	1 year
6421459	1 year
6421460	1 year
6553041	young
6553042	young
6553043	young
6553044	young
6553045	young
6553046	young
6553047	young
6421449	1 year
12155864	adult
17677167	1 year
17677168	1 year
12529798	1 month
12529799	1 month
12529800	1 month
12529801	1 month
12529802	1 month
12277876	adult
12277881	adult
12277878	adult
12277880	adult
12277879	adult
12169546	adult
12169565	adult
12169572	adult
12169568	adult
12169573	adult
12169574	adult
12169575	adult
12169576	adult
12169577	adult
12169578	adult
12169579	adult
12169582	adult
12169583	adult
12169584	adult
12169586	adult
12169585	adult
12169587	adult
12169588	adult
12169590	adult
17599596	4-6 week
17929745	newborn
12277875	adult
17929746	newborn
8158983	adult
