bcell_id	h_age
1279711	14 and younger
1466134	Ponies
1466067	Ponies
1466069	Ponies
1279594	14 and younger
1279596	14 and younger
1347301	Adults and children
1279807	14 and younger
1279810	14 and younger
1279812	14 and younger
1279813	14 and younger
1466112	Ponies
1466114	Ponies
1466120	Ponies
1466124	Ponies
1466127	Ponies
1347163	Adult (pregnant)
1382096	Adults and children
1382094	Adults and children
1279438	14 and younger
1279479	14 and younger
1279480	14 and younger
1279483	14 and younger
1279500	14 and younger
1279731	14 and younger
1279485	14 and younger
1279487	14 and younger
1279490	14 and younger
1279492	14 and younger
1342019	children and adults
1279404	14 and younger
1279445	14 and younger
1279447	14 and younger
1279451	14 and younger
1279453	14 and younger
1279799	14 and younger
1279801	14 and younger
1279484	14 and younger
1465129	6-24 mo of age
1347298	Adults and children
1347165	Adult (pregnant)
1347166	Adult (pregnant)
1279454	14 and younger
1279721	14 and younger
1279494	14 and younger
1279495	14 and younger
1279499	14 and younger
1279735	14 and younger
1279736	14 and younger
1279774	14 and younger
1279778	14 and younger
1279779	14 and younger
1279472	14 and younger
1279473	14 and younger
1279802	14 and younger
1279803	14 and younger
1279474	14 and younger
1279426	14 and younger
1279477	14 and younger
1279737	14 and younger
1345381	Adutls
1345380	Adutls
1345385	Adutls
1345390	Adutls
1343564	Adutls
1279805	14 and younger
1279806	14 and younger
1319768	6-24 mo of age
1319775	6-24 mo of age
1319784	6-24 mo of age
1279502	14 and younger
1279740	14 and younger
1279741	14 and younger
1279742	14 and younger
1279745	14 and younger
1319451	6-24 mo of age
1279789	14 and younger
1279791	14 and younger
1279792	14 and younger
1279794	14 and younger
1279795	14 and younger
1466117	Ponies
1279428	14 and younger
1279430	14 and younger
1279439	14 and younger
1279780	14 and younger
1279732	14 and younger
1279723	14 and younger
1279724	14 and younger
1279725	14 and younger
1279728	14 and younger
1279729	14 and younger
1279431	14 and younger
1279432	14 and younger
1279433	14 and younger
1279436	14 and younger
1279746	14 and younger
1347300	Adults and children
1279836	14 and younger
1279837	14 and younger
