h_age	occurrences
mean age = 57 years	10
9 to 53 years	22
mean 53.8 years	2
25 to 45 years	15
20 to 75 years	28
2 to 67 years	9
2 to 53 years	12
36.2 +/- 8.9 years	1
6 to 12 months	3
0.5 - 3 years	74
59 to 80 years	9
24 to 59 years	8
27 to 55 years	100
19 to 64 years	4
9 to 10 weeks	1
10 - 15 years	18
58.4 +/- 14.3 years	19
2 to 4 weeks	17
38-55  years	1
8 to 10 years	87
7 to 78 years	2
5 to 80 years	3
3 to 5 years	1
10 to 73 years	5
21 to 66 years	1276
8.4 to 12.4 years	10
5 to 14 years	1
> 12 years old	1
2 to 16 years	174
26.2 +/- 4.8 years	36
23.2 +/- 5.7 years	6
8 to 10 months	295
60.9 +/- 11 years	8
59.4 +/- 5.4 years	8
6-7 weks	4
26 to 53 months	22
43 t0 53 months	6
98 to 140 days	50
31 years old	20
2 to 6 years	6
19 to 85 years	5
27.5 to 32.5 months	8
mean age = 4.4 years	2
4 to 80 years	4
median age 63 years	5
22 to 76 years	15
9.42 +/- 3.84 years	8
6.94 +/- 3.58 years	8
15 to 92 years	5
11 +/- 7 years	9
12.9 +/- 7.7 years	38
12.8 +/- 8 years	10
13.6 +/- 6.8 years	1
22.7 +/- 14 years	7
14.1 +/- 12 years	11
9.6 +/- 3.1 years	1
14.3 +/- 5.7 years	1
23.8 +/- 2.3 years	1
12 to 54 years	27
1 to 66 years	30
4 to 54 years	19
4 to 28 years	5
55.9 +/- 19.2 years	4
37.9 +/- 6.5 years	3
37.6 +/- 11.0 years	3
1-10 years old	110
23.9 to 53.9 years	2
40.7 to 73.3 years	4
6 -12 weeks	211
7- 32 years	15
4 to 9 years	2
mean age = 9.3 years	4
17 to 56 years	11
mean age = 38 years	12
1 to 268 days	1
18 to 47 years	14
22 to 58 years	8
17 to 42 years	8
22 to 62 years	8
5 week	31
5 to 8 week	2
18 to 70 years	24
10 to 89 years	27
38 to 72 years	21
41 to 73 years	11
56 to 72 years	1
61 to 70 years	1
43 to 71 years	1
mean 61.2 years	2
median 9 years	30
19 to 56 years	22
18 to 90 years	2
49 to 62 years	1
39 to 54 years	1
59 to 65 years	2
8 to 74 years	10
43 +/- 12 years	3056
1 to 7 years	39
0.8 to 81 years	39
2 to 36 months	39
36 +/- 10 years	3056
4 to 25 years	8
54.8 to 72.4 years	14710
9 to 36 months	3
22.4 to 58.8 years	18
12 to 192 weeks	3
median age: 7.5 years	16
11 to 66 months	3
3 to 5 weeks	45
38 to 81 years	6
over 18 years	230
10 to 100 years	6
17 to 24 years	90
19.9 to 60.5 years	2
< 5 years	9
19 to 47 years	3307
31 to 73 years	22
25 to 52 years	316
13 to 31 years	118
25.8 to 53.2 years	3
39.6 to 63 years	3
mean age = 33.6 years	16
43 to 88 years	1
21 -54 years	4
5 to 6 months	15
15.8 to 51.8 years	3
28 to 49.6 years	3
5 to 11 months	480
17 to 70 years	14
21 to 83 years	6
> 6 weeks	328
43.9 to 71.5 years	48
5 to 8 years	7
5 weeks-old	6
18 to 78 years	29
23 to 59 years	29
30 to 55 years	3
32 to 52 years	18
38 to 44 years	12
mean 54.37 years	6
mean 39 years	6
mean 51.32 years	6
7 to 19 weeks	2
average 30.2 years	72
6 to 66 years	1
44 to 52 weeks	9
12 week	5
mean 48 years	5
3 to 8 weeks	88
6-8 Weeks	111
40 to 78 years	3
11 to 51 years	16
9 to 16 years	5
3 to 8 years	5
22 to 78 years	3
16 to 80 years	2
31 to 61 years	13
1 months	2
7 to 65 years	3
22 to 73 years	1
16 to 68 years	2
8 to 10 weels	9
2 to 100 years	2
> 18 years	188
38 to 76 years	36
average 34.5 years	72
19.5 to 60.2 years	172
19.7 to 63.3 years	172
21 to 77 years	377
36 to 85 years	48
26 to 34 years	6
55.9 to 76.9 years	14710
37 to 79 years	1
45 to 74 years	1
35 to 75 years	1
19 to 62 years	1
26 to 55 years	213
13 to 68 years	2
18 to 88 years	2
21 to 85 years	3
17 to 96 years	2
12 to 88 years	4
23 to 45 years	5
30 to 45 years	106
42 +/- 8.1 years	1
18–48 years	5
55.2 to 65.2 years	9147
49 to 73 years	2
30 to 51 years	10
23 to 57 years	9
29 to 71 years	1
1 to 18 years	2
23 to 55 years	535
19 to 36 years	505
47 +/- 4.5 years	1
7 to 41 years	4
23 to 52 years	14
20 to 66 years	28
18 to 54 years	28
49 to 63 years	10
33 to 71 years	129
29 to 73 years	13
3 to 4 weeks	19
36.8 to 64 years	6
38.2 to 68 years	6
21.1 to 39.9 years	3
44.6 to 69.4 years	3
41 to 77 years	16
54 to 74.6 years	8
51.6 to 77.2 years	8
10 week old	10
32 to 69 years	2
21 to 30 years	16
6 - 58 years	25
14 - 66 years	27
25.4 to 52.4 years	6
20 to 30 years	8
30 to 40 years	6
3.4 to 24.4 years	6
54 to 85 years	78
mean 6.6 years	207
20 to 89 years	15
average age = 50 years	14
6 to 10 months	8
18 to 85 years	12
0.2 to 18 years	69
0.3 to 12 years	67
4-6 week	10
mean age = 71.3 years	7
mean age = 68.3 years	6
mean age = 66.3 years	6
mean age = 60.1 years	6
mean = 48 years	493
68.5 +/- 16.4 years	3
10 to 72 years	37
Mean age = 47.1 years	12
10 to 66 years	75
28 to 53 years	14
7-9weeks	2
18 to 40 years	16
20 to 72 years	142
Over 50 years	3
17 to 39 years	56
12 to 60 months	4
17 to 30 years	4
22 to 81 years	27
10-weeks	11
31 to 48 years	12
22 to 69 years	1
16 to 18 years	2
18 to 68 years	29
50 to 71 years	41
5 to 9 months	1
16 to 41 years	34
57 to 75 years	96
21 to 72 years	10
40 to 41 years	35
49- 55.6 years	4
mean 38 years	12
mean 11 years	18
17 to 71 years	1
24 to 65 yesrs	1
