bcell_id	h_age
2373980	6 months to 14 years
2373981	6 months to 14 years
2373982	6 months to 14 years
2373983	6 months to 14 years
2373976	6 months to 14 years
2373855	6 months to 14 years
2373856	6 months to 14 years
2373857	6 months to 14 years
2373858	6 months to 14 years
2373859	6 months to 14 years
2373860	6 months to 14 years
2373984	6 months to 14 years
2422958	20-85
2469089	53.7 +/- 11.2
2469090	58.8 +/- 8.7
2469091	53.7 +/- 11.2
2469092	58.8 +/- 8.7
2469093	53.7 +/- 11.2
2469094	58.8 +/- 8.7
2469095	53.7 +/- 11.2
2469096	58.8 +/- 8.7
2469097	53.7 +/- 11.2
2469098	58.8 +/- 8.7
2469099	53.7 +/- 11.2
2469100	58.8 +/- 8.7
2469101	53.7 +/- 11.2
2469102	58.8 +/- 8.7
2469103	53.7 +/- 11.2
2469104	58.8 +/- 8.7
2469111	53.7 +/- 11.2
2469112	58.8 +/- 8.7
2469113	53.7 +/- 11.2
2469114	58.8 +/- 8.7
2469115	53.7 +/- 11.2
2469116	58.8 +/- 8.7
2469117	53.7 +/- 11.2
2469105	53.7 +/- 11.2
2384443	49
2384444	49
2384445	49
2469106	58.8 +/- 8.7
2469107	53.7 +/- 11.2
2469108	58.8 +/- 8.7
2469109	53.7 +/- 11.2
2469110	58.8 +/- 8.7
2469118	55.7 +/- 5.7
2469119	49.5 +/- 7.5
2384439	49
2882960	6 months to 3 years
2882961	6 months to 3 years
2882962	6 months to 3 years
2882963	6 months to 3 years
2882964	6 months to 3 years
2882965	6 months to 3 years
2882966	6 months to 3 years
2882967	6 months to 3 years
2882968	6 months to 3 years
2882969	6 months to 3 years
2882970	6 months to 3 years
2882971	6 months to 3 years
2882972	6 months to 3 years
2882973	6 months to 3 years
2882974	6 months to 3 years
2882975	6 months to 3 years
2882976	6 months to 3 years
2882977	6 months to 3 years
2882978	6 months to 3 years
2882979	6 months to 3 years
2882789	6 months to 3 years
2882790	6 months to 3 years
2882791	6 months to 3 years
2882792	6 months to 3 years
2882998	6 months to 3 years
2882999	6 months to 3 years
2883000	6 months to 3 years
2883001	6 months to 3 years
2883002	6 months to 3 years
2883003	6 months to 3 years
2883004	6 months to 3 years
2883005	6 months to 3 years
2883006	6 months to 3 years
2882793	6 months to 3 years
2882794	6 months to 3 years
2882795	6 months to 3 years
2882796	6 months to 3 years
2882797	6 months to 3 years
2882798	6 months to 3 years
2882799	6 months to 3 years
2882800	6 months to 3 years
2883007	6 months to 3 years
2883008	6 months to 3 years
2883009	6 months to 3 years
2883010	6 months to 3 years
2883011	6 months to 3 years
3838411	1 day to 6 months
3830326	1 day to 6 months
3830327	1 day to 6 months
3830328	1 day to 6 months
3830329	1 day to 6 months
3830330	1 day to 6 months
4140198	2 months - 12 years
4140202	2 months - 12 years
3830331	1 day to 6 months
3313572	6 months to 14 years
3313573	6 months to 14 years
3313576	6 months to 14 years
3313577	6 months to 14 years
3313578	6 months to 14 years
3313579	6 months to 14 years
3313580	6 months to 14 years
3313581	6 months to 14 years
3313584	6 months to 14 years
3313590	6 months to 14 years
3313591	6 months to 14 years
3313596	6 months to 14 years
3313597	6 months to 14 years
3338819	6 months to 14 years
3338822	6 months to 14 years
3338824	6 months to 14 years
3338823	6 months to 14 years
3338825	6 months to 14 years
3338826	6 months to 14 years
3338827	6 months to 14 years
3338828	6 months to 14 years
3338829	6 months to 14 years
