h_age	occurrences
68 years	170
40-48 years	2
22-65 years	25
15-40 years	4
19-59 years	36
51 and 66 years	5
9-90 years	1
21 weeks	6
74 years	146
46-49 years	2
28-53 years	11
19-77 years	720
46 years	62
30-59 years	410
20-80 years	232
32-54 years	6
25-59 years	41
42-53 years	30
20-49 years	24
18-76 years	39
3-61 years	18
10-24 weeks	6
17-66 years	137
29-87 years	3
9.9-17 years	2
28 weeks	2
50-86 years	4
4-49 years	12
50-71 years	17
25-55 years	40
26-54 years	9
>56 years	1
18-77 years	207
28-91 years	6
53-85 years	51
34-79 years	3
38-60 years	6
22-87 years	12
28-75 years	2
62-91 years	6
24-79 years	15
2-23 years	10
7-21 years	20
19-73 years	16
23-78 years	33
27-77 years	1
53-81 years	130
1-9 years	27
72-86 years	5
71-87 years	2
8-18 years	27
25-53 years	37
1-6 years	36
0-9 years	14
6-15 years	29
30-40 years	10
40-63 years	9
6-46 years	6
14-54 years	3
39-77 years	3
30-68 years	106
23-84 years	68961
34-96 years	185
29-96 years	103
15-48 years	100
7-39 years	9
15-38 years	15
54-78 years	58
4-11 months	255
<5 years	4
13-84 years	15
76.9-80.3 years	8
2-17 years	7
9-44 years	2
32-43 years	17
30-45 years	16
30-66 years	7
31-59 years	7
21-61 years	7
28-60 years	7
34-60 years	6
35-55 years	17
31-57 years	57
29-82 years	207
30-56 years	20
26-85 years	1945
31-45 years	1944
31-76 years	28
23-67 years	30
29-62 years	17
29-63 years	4
35-72 years	5
32-62 years	23
7-64 years	93
18-72 years	14
10-16 weeks	49
18-83 years	30
35-87 years	5401
22-34.5 years	2
23-37.5 years	2
87 years	72
20-29 years	121
25-51 years	18
48-80 years	137
5-62 years	6
4-78 years	2
31-65 years	16
24-95 years	85
17-68 years	154
17-67 years	27
26-78 years	5
23-76 years	2
16-25 years	2
20-68 years	5
55-86 years	4
45-72 years	94
20-89 years	22
<21 years	108
6-17 years	23
0-77 years	2
9-17 years	1590
6-18 years	2
25-67 years	84
49-80.3 years	2
1.5 years	16
8-16 years	20
25-76 years	96
29-65 years	19
55-70 years	20
16-83 years	101
10-15 weeks	41
40-70 years	2
4-86 years	129
3-5 years	6
15-42 years	6
19-31 years	16
1 day	266
5-37 years	13
30-33 years	1
62-68 years	1
44-83 years	4
22-74 years	132
23-61 years	2379
31-58 years	26
1-3 years	49
3-9 years	141
8-9 years	794
2-45 years	17
10-13 years	4
45-77 years	9
38-61 years	7
9-49 years	10
21-53 years	17
19-51 years	18
21-40 years	7
19-87 years	2
19-58 years	8
16-45 years	13
157 days	4
11-83 years	1014
1-7 years	180
20-79 years	8
12-88 years	46
62-74 years	228
16-40 years	2
21-45 years	43
32-38 years	2
2-54 years	3
18-64 years	30
55-69 years	3
26-45 years	552
29-58 years	11
26-38 years	9
29-41 years	4
18-75 years	201
4-16 weeks	8
11 or 18 weeks	18
4-24 months	92
30-60 years	1
42-64 years	8
46-53 years	12
21-34 years	5
8-11 weeks	39
28-55 years	149
29-38 years	5
38-59 years	160
28-63 years	2
10-50 years	8
3.5-17 months	20
30-65 years	40
13-133 months	2
32-51 years	23
10-79 years	8
38-64 years	6
8-65 years	3
5-65 years	16
25-61 years	16
1-4 months	3
40-62 years	23
2-12 months	145
11-32 years	3
35-50 years	25
22-62 years	34
26-66 years	10
53-64 years	2
22-88 years	2
37-41 years	12
40-65 years	12
29-51 years	38
18-56 years	349
23-42 years	150
38-56 years	2
20-37 years	10
15-74 years	34
34-44 years	11
14-48 years	5
34-45 years	9
10-28 weeks	5
2-35 years	4
7-37 years	4
41 years	90
28-79 years	240
29-55 years	4
50-64 years	10
29-37 years	4
18-48 years	65
18-33 months	5
23-52 years	277
27-67 years	2
20-50 years	9
12-18 years	169
6-18 weeks	11
21-39 years	23
22-108 months	4
20-23 years	2
14-24 weeks	4
10-17 days	3
20-65 years	146
36-47 years	3
45-66 years	5
33-67 years	4
22-32 years	2
1-52 years	4
21-84 years	8
8-25 years	3
34-35 years	6
34-41 years	2
23-34 years	13
2-6 months	883
13-64 years	6
50-65 years	47
8-13 weeks	2
21-87 years	7
25-38 years	7
21-62 years	261
29-67 years	11
8-78 years	5
0-18 years	3864
24-73 years	11
22-36 years	7
42-67 years	62
50-73 years	1
52-62 years	1
23 and 61 years	1
35-94 years	76
10-36 years	5
59-61 years	1
50-69 years	1
20-52 years	12
1.1-11.6 years	34
39-73 years	2
13-82 years	2
21-30 years	2
18 weeks	20
45.8 years	1
5 or 6 weeks	2
23-44 years	2
46.3-66.3 years	25
30-76 years	4
5 or 8 weeks	1
24-51 years	18
20-69 years	57
8-15 years	6
6-42 years	7
3-52 years	12
25-58 years	15
16-50 years	111
8-14 years	4
7-15 weeks	43
7-48 years	4
22-35 years	27
6-41 years	10
6-64 years	20
20-40 years	14
4-20 weeks	2
13-31 years	12
4-12 weeks	28
9 or 20 weeks	2
9-25 years	2
16-36 years	11
20-27 weeks	71
25-80 years	2242
2-16 years	11
21-52 years	175
35-45 years	24
13-56 years	5
>16 weeks	66
3-22 years	20
>16 years	18
18-43 years	1
20-26 years	1026
27-41 years	9
24-66 years	83
5-38 years	6
33-77 years	28
14-20 weeks	6
16-73 years	2
21-91 years	30
38-67 years	74
64-86 years	10
13-31 weeks	2
36-55 years	13
22-77 years	26
27-58 years	36
10-13 weeks	2
26-42 years	15
36-43 years	5
33-56 years	13
2.5-4 months	2
89.7 years	1
20-63 years	484
40-69 years	2
4-17 years	17
1-2 months	109
24-53 years	4
24-42 years	1
25-57 years	141
14-59 years	4
41-69 years	23
3-45 years	2
13-46 years	2
13 days	2
17-36 years	11
50 days	11
27-79 years	50
25-44 years	71
33-64 years	16
13-20 years	12
19-32 years	55
15-20 weeks	3
24-39 years	16
12-23 weeks	70
27-66 years	20
21-56 years	626
28-35 years	1
37-74 years	6
38-57 years	5
27-44 years	11
>27 weeks	2
14-49 years	2
21-31 years	87
14-46 years	27
20-78 years	7
22-76 years	148
30-72 years	9
57.1-70.1 years	4
14-86 years	1
30-74 years	6
30-83 years	10
19-95 years	7
26-34 years	6
27-62 years	16
14-44 years	3
14-26 years	3
22-84 years	1
21-72 years	3
26-52 years	8
5-12 weeks	6
34-58 years	1
3-20 weeks	3
28-39 years	1
33-50 years	3
25-72 years	3
39-82 years	5
36-65 years	119
18-36 years	2
36-39 years	3
52-89 years	8
<70 years	1
16-75 years	4
8-53 years	1
20-27 years	4
18-86 years	1
21-67 years	176
60-62 years	1
7-78 years	1
52-59 years	1
39-63 years	29
57-62 years	6
47-65 years	5
26-63 years	44
19-53 years	54
25-31 years	34
11-19 years	10
22-45 years	9
9-12 months	8
0.8 years	2
4.1-15.2 years	3
23-43 years	18
41-68 years	2
26-80 years	8
20-83 years	1
24-47 years	103
42.8-66.5 years	3
32-70 years	6
23-81 years	6
11-18 years	2
7-8 years	3
42-62 years	1
6-9 days	26
53-54 years	30
26-79 years	16
>45 years	6
24-58 years	15
80 days	11
10-13 days	1
15-18 months	26
7.5-8 weeks	36
55-60 years	1
22-54 years	2
36-37 years	1
3-12 years	72
28-58 years	2
32-37 years	50
38-50 years	3
27-29 years	54
25-52 years	4
11-42 years	39
20 months	11
31-58.8 years	5
6-11 weeks	43
23-58 years	11
18-41 years	12
24-46 years	96
4-14 weeks	4
4-9 weeks	2
53-83 years	7
54-81 years	126
30-48 years	72
27-70 years	2
12-24 weeks	19
1.8-18 years	43
7-40 years	1
8-29 years	1
2-62 years	1
33-75 years	4
24-65 years	249
14-25 years	9
29-49 years	31
17 weeks	8
>6 weeks	4
17-46 years	11
17-20 years	4
16-26 weeks	2
13-15 years	3
4.5 weeks	2
47-56 years	2
60-91 years	2
1.5-22 months	1
1.5-18 months	4
24-52 years	125
3-8 months	349
27-29 days	1
33-36 days	1
27-57 years	300
50 ± 15 years	4
40 ± 12 years	4
28-48 years	30
21-48 years	3
21-75 years	479
24-49 years	51
3-22 months	1
24-32 years	9
21-77 years	72
20-47 years	20
29-60 years	25
19-57 years	1
6-14 weeks	17
22-69 years	20
7-16 weeks	8
15-62 years	15
<3 years	20
43-84 years	1
16 ± 11 days	5
7-13 weeks	2
32-69 years	4
35-60 years	2
7-70 years	57
12-48 weeks	1
1.5-3 years	7
2-20 months	8
25-56 years	58
9-35 years	10
12-36 years	8
28-61 years	6
12-29 years	4
27-49 years	9
33-45 years	919
26-44 years	1
28-64 years	130
63-85 years	10
37-45 years	1
25-54 years	2746
9-66 years	2
63-66 years	1
26-93 years	9
5-16 weeks	16
34-72 years	10
29-42 years	29
24-40 years	84
24-38 years	7
37-78 years	3
60-72 years	1
39-43 years	7
19-72 years	155
39-48 years	14
36-57 years	8
25-47 years	8
5-20 weeks	14
14.1 years	7
5.4-16.4 years	1
