h_age,occurrences
"39-55 years",10
"7-21 years",10
"41 +/- 11 years",10
"24 to 37 years",9
"18-61 years",9
"7-74 years",9
"18 to 39 years",9
"27 to 45 years",9
"44 to 52 weeks",9
"2.5-6 months",9
"8-74 years",9
"32-62 years",9
31-32,9
"25-53 years",9
"42.3 ± 16.4 years",9
"8-12 months",9
"8.9-13.8 years",9
"16-77 years",9
"mean 13. 8 years",9
"7 months",9
"13-72 years",9
"66 years",9
"45-77 years",9
"1-15 years",9
"11 +/- 7 years",9
"45 days",9
"26 to 37 years",9
"25-55 years",9
"26-54 years",9
13-68,9
"38-68 years",9
25,9
"29-62 years",9
"21-36 years",9
"7 months old",9
"12-16 weeks old",9
"4 to 8 months",9
"7-39 years",9
"18–55 years",9
"30-40 years",9
"2 to >20 years",9
"15-38 years",9
"15-21 years",9
"23 to 52 years",9
"2 to 67 years",9
"59 to 80 years",9
"< 5 years",9
"18-58 years",9
"16 to 60 years",9
"54-64 years",9
"17 to 58 years",9
"12 to 66 years-old",9
"40-63 years",9
"60 to 74 years",8
"49-81 years",8
"9.42 +/- 3.84 years",8
"24 to 35 years",8
"22 to 58 years",8
"6–8weeks old",8
"10-16 weeks",8
"6-7 weeks old",8
"24 to 59 years",8
"17 to 42 years",8
"Less than 20 years",8
"> 6 weeks",8
"14 to 45",8
"2-50 years",8
"elderly > 70 years",8
22-41,8
"18 +/- 11 years",8
"49-57 years",8
"62 years",8
64,8
"51.6 to 77.2 years",8
"54 to 74.6 years",8
"24-54 years",8
"35 to 65 years",8
"1.5 month",8
"608 weeks",8
"4 to 25 years",8
"5-7 months old",8
"> 2 months",8
"26-72 years-old",8
"24-75 years old",8
"1-24 years",8
"4 to 6 months",8
"11-12 weeks",8
"36-45 years",8
"24-76 years",8
"60.9 +/- 11 years",8
"20 to 30 years",8
"17-69 years",8
"mean age 3-4 years",8
"20 to 34 years",8
"40.6 +/- 11.4 years",8
"59.4 +/- 5.4 years",8
"2 to 15 years",8
"2-4 years",8
"14-79 years",8
"80 years",8
"18-54 years",8
"8 +/- 3 years",8
"Children and Adults",8
"36- 57 years",8
"2 years 8 months to 3 years 9 months",8
"5-80 years",8
"37-75 years",8
"76.9-80.3 years",8
"3-5 months",8
"6 week-old",8
"21-90 years old",8
"12-64 years",8
"2 - 3 months",8
"18-72 years",8
"23-71 years",8
"12-57 years",8
"30 days",8
"22 to 62 years",8
"24-83 years",8
"6.94 +/- 3.58 years",8
"22.7 +/- 14 years",7
"Adult (pregnant)",7
"17-19 years",7
"31-59 years",7
"4 to 6 week-old",7
"32-64 years",7
"21-61 years",7
"24-61 years",7
48-51,7
"28-60 years",7
">10 weeks",7
"2-3 years",7
"72 years",7
"2-65 years-old",7
"27.5 to 32.5 months",7
"5.5-7.5 months",7
"8.5 +/- 3.3 years",7
"21-40 years",7
"18-52 years",7
"4 to 21 years",7
"22-65 years",7
"20-25 years",7
7-month-old,7
"1 to 3 years",7
"39 +/- 2.4 years",7
"6-57 years",7
"10-15 years",7
"19-27 years old",7
"5 to 8 years",7
"16-85 years",7
"16 to 76 years",7
"18 to 50 years",7
"43 to 83 years",7
16-20years,7
"6 wk",7
"mean age = 71.3 years",7
"5-17 years",7
"20-95 years old",7
"12-20 weeks",7
"6 to 24 months",7
"14-75 years",7
18–73,7
"16-44 years",7
"1 day to 6 months",7
"81 years old",7
40-42,7
"35-55 years",7
"17 months",7
"30-66 years",7
"2 to 6 years",6
"middle aged",6
"21 to 83 years",6
"23.2 +/- 5.7 years",6
"28-42 years",6
"5-13 weeks",6
"46-91 years",6
"32-54 years",6
"14-64 years",6
"15-42 years",6
"21 to 47 years",6
"36.8 to 64 years",6
"4-5 weeks old",6
"8 wekks-old",6
"38-60 years",6
"40.8-69.4 years",6
2-month-old,6
"5-13 years",6
"19-31 years",6
"54-71 years",6
"38.2 to 68 years",6
"young adult",6
"62-91 years",6
"10-24 weeks",6
"38 to 81 years",6
"4-60 years old",6
"1-14 years",6
"23 days",6
"49.3-69.9 years",6
"mean age = 60.1 years",6
"43 t0 53 months",6
"3-5 years",6
"34-61 years old",6
"2-40 years",6
"6-8 week-old",6
"60 days",6
"average age = 44.8 years",6
"mean age = 66.3 years",6
"30 to 40 years",6
"10 to 100 years",6
"29 to 77 years",6
"1-23 years",6
"4 wk",6
"average age = 43.6 years",6
"mean age = 68.3 years",6
"25.4 to 52.4 years",6
"19-46 years",6
"18-20 years-old",6
"3.5 month",6
"45 day",6
"30-82 years old",6
"59-67 years",6
"5-59 years old",6
"11-62 years-old",6
"67 years old",6
"21 to 45 years",6
"mean 39 years",6
"under 7 years",6
"44-74 years",6
"mean 51.32 years",6
"27 to 60 years",6
"8 to 48 years",6
"10 to 53 years",6
"44.1 +/- 13.2 years",6
"35-70 years",6
"mean 54.37 years",6
"6 months - 47 years",6
"48 +/- 12 years",6
"2-14 years",6
"32 to 72 years",6
"6-46 years",6
"27-72 years",6
"48.6 +/- 13.5 years",6
"21-53 years",6
"2.8 months",6
newborns,6
"8 to 10 weels",6
"24 hours",6
"3.4 to 24.4 years",6
"7-8 weeks-old",6
subadult,6
"66.6 +/- 7.4 years",6
"30 to 77 years",6
"28-91 years",6
"28–36 years",6
"21 weeks",6
"20-79 years",6
"3-65 years-old",6
"18-33 years",6
"11 years",6
"38-61 years",6
"20-64 months",6
"2 months to 14 years",6
"6 - 8 wo",6
"10 to 47 years",6
"18-51 years",6
"21-77 years old",6
4-8-week-old,5
"7 to 77 years",5
"7 to 10 weeks",5
"18-63 years",5
"23-67 years",5
"20-72 years",5
"17-50 years",5
"12 week",5
"72-86 years",5
"19 to 85 years",5
"3-41 years",5
"28-68 years",5
"6 to 38 years",5
"2 mo",5
"15 to 92 years",5
"31-49 years",5
"3-8 years",5
"45 to 82 years",5
"50-80 years",5
"18-59 years",5
"3.6-18.6 years",5
"34-60 years",5
"4 to 28 years",5
"22-71 years",5
"18–48 years",5
"8 to 12 weeks old",5
"48-60 years",5
"35-72 years",5
"12-54 years",5
"10-17 years",5
"Mean age = 34.8 years",5
"33-73 years",5
"3 months old",5
"51 and 66 years",5
"18-42 years",5
">20 years",5
"1 to 8 years",5
"4-5 months",5
"8 to 18 weeks",5
"10 to 73 years",5
"35 years-old",5
"13-48 years",5
"median age 63 years",5
"9 to 16 years",5
"3 to 8 years",5
piglet,5
"16 to 65 years",5
"5-59 years",5
"21-45 years",5
"23 to 45 years",5
40-day-old,5
"6 or 12 months",5
"31 to 32 years",5
"6 to 14 weeks",5
"24-82 years",5
"12-16 months",5
"19-75 years",5
"54-74 years",5
"mean 48 years",5
"10-16 weeks old",5
"53 +/- 11 years",5
"26 to 52 years",5
"20 to 72 years",5
"21, 27 and 36 weeks",5
"23 to 57 years",5
"16 months",5
"55 to 90 years",5
"46-66 years",5
"19-48 years",5
"19 to 71 years",5
Four-weeks-old,5
"12-35 years",5
