"h_age"	"frequency"
"36 to 47 years"	3
"36 to 66 years"	114
"36 to 70 years"	2
"36 to 75 years"	12
"36 to 85 years"	22
"36 years"	158
"36 ± 13 years"	2
"36- 57 years"	8
"36-38 weeks"	10
"36-38 years"	18
"36-40 years"	82
"36-43 days"	2
"36-45 years"	8
"36-55"	2
"36-56 years"	1
"36-63 years"	3235
"36-66 years"	2
"36.1 years"	4
"36.1 years (mean)"	25
"36.2 +/- 8.9 years"	1
"36.47 +/- 12.46 years"	1
"36.8 to 64 years"	6
"36.8 years (mean)"	10
"37 average"	4
"37 to 78 years"	1
"37 to 79 years"	1
"37 years"	149
"37 ± 12 years"	4
"37 ± 14 years"	3
"37-43 years"	13
"37-44 years"	14
"37-57 years"	4
"37-66 years"	4
"37-69 years"	1
"37-75 years"	8
"37.0 +/- 12.6 years"	25
"37.4-47 years"	1
"37.6 +/- 11.0 years"	3
"37.9 +/- 6.5 years"	3
38	15
"38 days"	4
"38 to 44 years"	12
"38 to 50 years"	2
"38 to 64 years"	4
"38 to 66 years"	2
"38 to 72 years"	17
"38 to 76 years"	36
"38 to 81 years"	6
"38 weeks"	1
"38 years"	105
"38+/- 11 years"	22
"38-54 weeks"	1
"38-55  years"	1
"38-60 years"	6
"38-61 years"	6
"38-68 years"	9
"38-69 years"	1
"38-71 years"	1
"38-72 years"	5
"38-73"	93
"38-79 years"	2
"38.15 ± 6.5"	4
"38.2 to 68 years"	6
"39 +/- 2.4 years"	7
"39 to 51 years"	3
"39 to 54 years"	1
"39 to 82 years"	54
"39 years"	46
"39 ± 15"	4
"39-44 years"	14
"39-55 years"	10
"39-59 years old"	2
"39-65 years"	25
"39-67 years"	3
"39-77 years"	3
"39.0 +/- 13.8 years"	25
"39.18 ± 6.77"	4
"39.6 to 63 years"	3
"39.88 ± 10.13"	5
"4 - 6 weeks"	157
"4 days"	2
"4 month old"	13
"4 months"	92
"4 months old"	1
"4 months- 4 years"	19
"4 months-15 years"	4
"4 months-30 years"	20
"4 to 18 years"	56
"4 to 21 years"	7
"4 to 25 years"	8
"4 to 28 years"	5
"4 to 45 years"	124
"4 to 45 years-old"	12
"4 to 5 weeks"	27
"4 to 54 years"	19
"4 to 6 months"	8
"4 to 6 week"	3
"4 to 6 week old"	1
"4 to 6 week-old"	7
"4 to 6 weeks"	974
"4 to 6 weeks old"	14
"4 to 6 years"	10
"4 to 60 months"	13
"4 to 7 week-old"	301
"4 to 70 years old"	39
"4 to 8 months"	9
"4 to 8 weeks"	61
"4 to 80 years"	4
"4 to 9 years"	2
"4 week"	4
"4 weeks"	2013
"4 weeks old"	192
"4 wk"	6
"4 years"	80
"4 years old"	2
"4- to 6-week-old"	29
