as_location,occurrences
"Table 1, Figure 3",2
"Figures 5, S5, and Table S3",2
"Table S1 and Figures 5 and S1",2
"Table 1 and Figure 1",2
"Table S1 and Figure S1",2
"Supplementary Table 1 and Figure 3",2
"Text page 256",2
"Results page 907",2
"Text page 1175",2
"Figures 1, 2 and 3",2
"Figure 2, Supplementary Table 3 and Supplementary Figure 8",2
"Supplementary Figure 2",2
"Figure 3D",2
"Figure 1A",2
"Figure S5 and Table 2",2
"Figures 1, 2, and Table1",2
"Figures 2, 3, Table 1",2
"page 997",2
"Figure 3 and Supplementary Figure 10",2
"Table 2 and Supplementary Table 3",2
"Figure 1 and Supplementary Data Table 1",2
"Table 1 and Figures S1 and S2",2
"Figures 2B and 6",2
"Figures 1, S1 and text p. 886",2
"Supplementary Table 1 and Figure 1",2
"Figure 5, Table 2, and Supplementary data Figure 3, Table 1",2
"Table S1, Table 1, Figure 2",2
"Figure 3 and Table S4",2
"Table S1, Figure S1",2
"Table 2 and Figure 1",2
"Figure S13",2
"Table 1, Figure 2, Supplementary Table I",2
"Figure S3 and Table 2",2
"Figures 4, 5 and Table II",2
"Text p. 278",2
"Supplementary Table S2, Supplementary Table S4",2
"Table 1, Figure 1C",2
"Table S2 and Figure 3",2
"Figures 3 and 5",2
"Figures S1 and S14 and Table S1",2
"Figures 3, 4",2
"Figure 4 and Table 5",2
"Figures 5, 6, 7, and 8",2
"Figure 4 and Text p. 12036",2
"Figure S1 and Table S1",2
"Figures 1 and 4",2
"Figure 1, Supplementary Table 1 and Supplementary Figures 5 and 6",2
"Figures 4 and 5 , table 2",2
"Supplementary Table S1 and Tables 1 and 2",2
"Figure 1, Supplementary Figure 1",2
"Table S1 and Figure 1 and Supplemental Figure 1",2
"Table 1, Supplementary Table 1, Figures 3 and 4",2
"Supplementary Figure S1",2
"Figure S14",2
"Figure 2 and Supplementary Table 1",2
"Supplemental Table 1, Figure 2",2
"Figures 1, 2, 3",2
"Text page 318",2
"Figure S8",2
"Figure 7, Table 3",2
"Table 1 and Figures 4 and 5",2
"Table S1 and Figures 4, 5 6, and S6",1
"Table 2 and Figure 4",1
"Figure 1, S1 and  Dataset 1",1
"Table S1 and Supplemental Figure 1",1
"Table S1 and Figures 3, 4, 5, 7, S6, and S7",1
"Table S1 and Figures S44-S46",1
"Supplementary Figures 18, 19 and Supplementary Table 19",1
"Table 1, Figure 3, Supplementary Table I",1
"Supplementary Table 3, Table 1",1
"Figure S3, S5 and Table 2",1
"Figure 3A,E",1
"Figure S-8 and Table S1",1
"Figure 2 and Supplementary Tables S1, S2, and S3",1
"Figure 5C and S3 Fig",1
"Supplementary Table 20",1
"Table S1 and Fgures S37-S38",1
"Figure 1, Supplementary Table 2",1
"Figure 5 and Supplementary data Figure 3",1
"Figure 3, Extended Data Figure 2 and Supplementary Figure 6",1
Supplementary,1
"Figures 2, 3, 4 and 7",1
"Supplementary Table 1 and Figure1",1
"Figure 4E",1
"Supplemental dataS1 and S5",1
"Tables 1 and 2, Figure 2-4",1
"Table 1 and Suppl Figure 4",1
"Supplemental Figures S9-S11",1
"Figures 1, 2, and 9",1
"Table 1, S1 and Figures S24-S30",1
"Figures 1 and 2 and Supplementary Figures 1, 3, and 6",1
"Supplemental data S1 ans S5",1
"Figures S1, S2, S3 and S4",1
"Table 1 and Suppl Figure 1",1
Methods,1
"Table S4, Figure 3",1
"Supplemental Table and Figure S7",1
"Figures 3, 4, 5, and 6 and Table 2",1
"Fig. 2a, Extended Data Fig. 6a and Supplementary Data 1",1
"Figure 1, S1 and Dataset 1",1
"Table 1 and Figure 1A",1
"Table S1 and Figures 3 and 5",1
"Table S1 and Figure S42",1
"Supplementary Figure S6",1
"Figure 2 and Supplementalary Figure 1",1
"Figure 3C,G",1
"Supplementary Table 1, Figure 5",1
"Table S2, Figure 3",1
"Table 1, S1 and Figures S6-S7",1
"Figure S-7 and Table S1",1
"Supplementary Table 1 and Figure7",1
"Table 1 and Figures 2 and S1",1
"Figures 2, 3, 4",1
"Table S2 and S6",1
"Figure S-6 and Table S1",1
"Figures 2 and 4, Table 6",1
"Supplementary Table S2, Supplementary Table S3, Supplementary Table S4",1
"Figures 2, 3, 5 and 9",1
"Table S1 and Figure S41",1
Abstract,1
"Supplementary Data S3, Data S2",1
"Supplementary Table 2, Table 2",1
"Table 1, S1 and Figures S13-S22",1
"Supplemental data S1 and  S5",1
"Supplementary Table 15, Supplementary Table 13",1
"Figures 7, Table 3",1
"Figures 1, 3 and Table 2",1
"Figure 5B",1
"Figures 1-6, Table 1",1
