as_location,occurrences
"Figure 1 and Supplementary Table 2",42
"Tables 1, Suppl tables S1 and S5",42
"Table 1, Figures 3 and S4",42
"Supplementary Figure 3, Figure 2",41
"Figures 1, 2 and 4",41
"Figures 4-5",41
"Text p.3393",41
"Tables SIV and SV and Figure 8",41
"Fig 3",41
"Table  1",41
"Supplementary Figure S7, Supplementary Figure S2",41
"Figures 4 and 6, Tables 2 and 3",40
"Figures 1, 2 and Table 1",40
"Figures 1, 3 and 4",40
"Figures 2 and 7",40
"Figures 2, 3, 4, Table 2",40
"Figure 4 and Table 1",40
"Figure 3 and Table S3",40
"Supplementary Dataset 11d",40
"Figure 2 and Table III",40
"Supplemental Figure 7",40
"Extended Data Figure 8",40
"FIgure 5",40
"Figures 1, 2, 3, 4",40
"Extended Data Figure 5 and Supplementary Table 3",40
"Table 3, Text page 788",40
"Figures 2, 4, 5, and Supplementary Figure S2",40
"Figures 2 and 3, text p. 3236",40
"Text p.399",39
"Figure 1, Tables 3 and 4",39
"Figure 2c",39
"Figure 2 and Supplemental Table S1",39
"Figures 1, 2, 3, 4 and 5",39
"Text page 1565, Figure 1B",39
"Figure 1, Supplementary Table 1",39
"Supplementary Dataset 11e",39
"Figure 3 Table 3, Supplementary Table 1",39
"Figure 1 and Supplemental Table 1",39
"Figure 1E",38
"Table II, Figure 2",38
"Figure 1 and Extended Data Figure 2",38
"Tables 3 and S2",38
"Figures 3 and 4 and Table 2 and Supplementary Figure 2",38
"Figure 6 and Table 1",38
"Supplementary Figure 3, Dataset S2",38
"Table 2 and figure 3",38
"Figures 1, 3, S1",38
"Figures 2 and S1",38
"Table 2 and Figures 5 and 6",38
"Supplementary Dataset 11a",38
"Figure 2A,B",38
"Supplementary Figures 3 and 5",38
"Table 1 and Table S1",37
"Tables III and IV",37
"Table 3 and Figure 3",37
"Table 2, Figures 1 and 2",37
"Table 5 and Figure 2",37
"Figures 1, 2, 3, 4, and 5",37
"Tables 6 and 7",37
"Figures 2, 4, and Supplementary Figure 1",37
"Figure 2 and Supplemental Figure 7",37
"Figures 2, S3",37
"Supplementary Figure S6",37
"Figures 3 and S4 and Table S3",37
"Figures 1C and 2",37
"Supplementary figure S2",37
"Figures 1, 2, and 4",37
"Figure 4 and Table S1",37
"Figure 4, Supplementary Table 2d",36
"Table 1(B)",36
"Figure1, Table 2",36
"Table 1 and Figures 1, 3, and S2",36
"Table 1 and Figure 6",36
"Table 1 and Figures 6 and 7",36
"Figure 3 and Tables S1 and S4",36
"Figure 1b",36
"Tables IV and V",36
"Figures 2, 3, S3",36
"Figure 4 and Table S4",36
"Figures 5, 6, 10 and 14",36
"Figure 8B",36
"Text page 9",36
"Figures 5, 6, 8 and 12",36
"Figure 2 and 4",36
"Figure 5E",35
"Figure 4c",35
"Figure 4, Table 2",35
"Table 2, Figures 1 and 4",35
"Tables 2 and 3, Figures 1 and 3",35
"Table I, column 4",35
"Figure 2, S3, Table S3",35
"Figures 5, 6, and 7",35
"Figure 5F",35
"Figure 4, Table 2, and Supplementary Table 4",35
"Table I, column 5",35
"Figure 2F",35
"Supplementary Figure 9",35
"Figure 2 and 3",35
"Figure 3 and Table S5",34
"Figures 1, 2, Supplementary Figure 3",34
"Table I, Figure 1, Figure 2",34
"Figures 4 and 5, Supplementary Table 1",34
"Figure 4, Supplementary Table 2",34
"Figures 2, 3 and Table 1",34
"Text page 70",34
"Supplemental Table 3, Figure 3",34
"Figure 2 and Supplementary Figure 1",33
"Supplementary Table 2 and Extended Data Figure 2",33
"Table 4, 5",33
"Figure 3, 4,  5, Table 3, and Author Correspondence",33
"Results (page 401)",33
"Tables 2 and 4",33
"Figures 4, 5 and 6",33
"Table 2, Figures 1 and 3",33
"Figure S1, Table S3",33
"Figure 1A, Text",33
"Figures 2, 3, 4, and 5",33
"Supplementary Table 5, Figure 3",33
"Table1, Figure 4",33
"Tables 3 and 4, Supplemental figure 1",33
"Figure 3, Tables 2, 4, and 5",32
"Supplementary Information Table 2",32
"Figures 1, 2, 3, 4, 5, and 6",32
"Figure 4 and Table S6",32
"Text p.259",32
"Figure 4, Tables 1 and 2",32
"Figures 2, 3 and 5",32
"Figures 1-2 and Table 1-2",32
"Figure 2, Text page 1833",32
"Table 1 and Figures 3, 4, and 5",32
"Figure 1B, 2, 4B, S2c, S2d",32
"Figures 3A and 3B",32
"Figures 1, 2, 3 and 5",32
"Table 2, Figures 1, S4, S7",32
"Page 631 section 3.4",32
"Text pages 1277-1278, Table II",32
"Figure 5, Figure 4",32
"Figure 3 and Supplementary Table 2",32
"Table 1 and Figures 1-3",32
"Supplementary Figure S8",32
"Table SIII",32
"Figure 3 and Table S6",32
"Text page 1278, Table II",32
"Figure 2 and Extended Data Figure 3",31
"Figures 1, 3, S1, Table S3",31
"Figures 2, 3, and 6",31
"Tables S1 and S8",31
"Figure 1, Tables 2a, 2b, 4, Supplementary Figure S1 and Table E2",31
"Table I and Figure 3",31
"Figures 1, 2, and 3 and Table 1",31
"Figures S2 and S3",31
"Table 3, Figure 3",31
"Figure 14",31
"Table 3 and text p.7062",31
"Figure 1, Tables 1 and 2",31
"Figure 3, Tables I and II",31
"Figure S15",31
"Figure 1, Table I",30
"Figures 1, 2, and 8",30
"Figure 4 and Supplementary Figure 5",30
"Figures 4",30
"Figrue 2",30
"Text page 1242",30
"Figures 1, S2",30
"Table 2, Figure 5",30
"Figure 5B and Supplementary Figure 5, 6",30
"Table 3, Figure 4",30
"Figure 6D",30
"Tables 5 and 7, Figure 2",30
"Figure 2 and Supplementary Figure 5",30
"Figure 1c, Table S2",30
"Supplementary Figure 7",30
"Figures 2, 3, 6, 7, 8, S3, S4, and Tables 4, S1 and S2",29
"Tables 2 and 3, Figures 1 and 2",29
"Figures 3 and S2",29
"Data File S1 and Table S3",29
"Tables 1, S1, Figure 3",29
"Figures 3 and S5",29
"Table 1, Figure S2",29
"Figures 2 and 3, Supplemental Table 1",29
"Figure 12",29
"Figures 1-3",29
"Text, p. 1091",29
"Table 2 and Figures 2, 3, and 4",28
"Tables 2, 4",28
"Figures 1 and 2 and extended data Figure 1",28
"Table A2",28
"Figures 8 and 9",28
"Supplemental Table 1B",28
"Supplementary Figure S9",28
"Figures 3, S3, and 4, Table 2",28
"Figure 2 and Supplemental Figure 1",28
"Figures 3, 4 and Table 2",28
"Figures 3 and S4",28
"Figure 3 and Table II",28
"Figure 4, Supplementary Figure 3",28
"S2 and S4 Tables",28
"Figure 3 and Supplementary Figure S1",28
"Figures 2, 4, and S2, Table 2",28
"Figures 2, 5 and 7",28
"Table 2 and Figures 2 and S2",28
"Figure 6, Supplementary Table S4",28
"Figure 6 and Supplementary Data 8 and 9",28
"Supplemental Table 1C",28
"Figures 3 and S7",28
"Figures 2, S2 and S3",28
"Figures S3",28
"Figures 1, 4 and Table 3",27
"Figures 2, 3, 4, 5",27
"Figures 1, 3 and Table 2",27
"Figure 4F",27
"Figures 4, S10",27
"Figure 3, Figure 2",27
"Supplemental Table III",27
"Extended Data Figure 7",27
"Supplemental Figure 5",27
"Figure 2, Suppl data 2, 4",27
"Figure 3, Supplemental Figure 2",27
"Figure 6c",27
"Extended Data Figure 3",26
"Results page 3",26
