as_location,occurrences
"Figure 1, Supplementary Figure 2",38
"Figures 3 and S1",38
"Figure 2, Author Correspondence",38
"Figures 1 and 2 and Table 2",38
"Supplementary Figure 10",38
"Supplementary Figure 7",38
"Figure 2 and Supplementary Figure 3",38
"Figures 3 and 4 and Table 2",37
"Table 2 and Figure 5",37
"Figure 5, Table 3",37
"Table I and Figure 2",37
"Table 2, 3 and Figure 2",37
"Figure S15",37
"Table 2, Table 3",37
"Text on p.756",37
"Figures 4, 5, and 6",36
"Figure S3 and Table S5",36
"Figures 1, 2 and 4",36
"Figures 1, 2, 3 and Table 1",36
"Figure 4, Tables 2 and 3",36
"Data S2",36
"Figure 3, Extended Data Figure 4",36
"Text page 506",36
"Text  p 3692",36
"Table 3, Figure 5",36
"Figures 2, 3, 4 and Table 3",36
"Figures 2, 4, and 5",36
"Figure 2 and Table II",36
"Figure 7B",35
"Table 1B",35
"Tables 3 and S-2",35
"Figures 4 and 7",35
"Figures 1, S1 and S2",35
"Figure 3 and Table 5",35
"Text p. 31",35
"Figures 1, 2, 3 and Table 2",35
"Extended Data Figure 10",35
"Figure 3, 4",35
"Figures 4 and S4",35
"Table S1, Supplementary Figure S1",34
"Figure 2 B",34
"Figure 1A, 4",34
"Figures 4 and S5",34
"Supplementary Figure 18",34
"Figures 5 and 7",34
"Table 2 and Figure 6",34
"Table E3",34
"Text page 475",34
"Text page 191",34
"Figure S6 and Table S3",34
"Tables 3 and 5",34
"Figures 1, 4",33
"Figures 6 and 8",33
"Table 1 and Supplemental Table 2",33
"Tables III and IV",33
"Tables 1 and 2, Figure 1",33
"Figure 2, S3, S4 and Table S5",33
"Figure 1 and Supplemental Figure S1",33
"Tables 2",33
"Supplementary Figure S2 and Supplementary Table S2",33
"Text p. 691",33
"Table 2, Figures 2 and 4",33
"Figure 2a",33
"Figure 3 and Supplementary Table 2",32
"Table 1A",32
"Table 2, Results",32
"Text page 300",32
"Text page 248",32
"Figure 1, Supplementary Table 2",32
"Figures 10B, 10D and 10F",32
"Figures 1, 2 and 3, Tables 2 and 3",32
"Table 2, Figure S4",32
"Suppl Figure S1",32
"Figure 4 and page 9123",32
"Figures 1.A and 1.B",32
"Figures 1, 2, 3 and 4",31
"Figures 4 and S1",31
"Figures 3, S4, S5 and Supplemental Tables",31
"Supplementary Data III",31
"Figure 7 and Table II",31
"Table 4, Figures 4 and 5",31
"Table 1, 2 and figure 1",31
"Figure 2, S4 and Table S1",31
"Figure 5D",31
"Table 1 and Supplementary Table S1",31
"Figure 3 and Supplementary Figure 7",31
"Figures 1 and 2, Table 1",30
"Table 1, Figure 6",30
"Figures 1, 4, and 5",30
"Text p.S13",30
"Figure 3, 7",30
"Figure 1F",30
"Supplementary Figure 9",30
"Figure 1, Table S4",30
"Figure 3 and Table S3",30
"Table 3, Figures 2 and S3",30
"Figure 3 and Table S9",30
"Figure 2 and Extended Data Figure 2",30
"Supplementary data",30
"Figure 5 and Table I",30
"Table I and III",30
"Figures 1, 2, 3 and Table1",30
"Figure 2e",30
"Figures 6 and S6",29
"Table 2 and figure 2",29
"Figures 1, 4, and S1",29
"Figure S5 and Table S4",29
"Figures 1, 2 and Table S1",29
"Figure S11",29
"Tables 1 and 2, Figure 3",29
"Table 1b and Figure 2",29
"Figures 5, S2",29
"Figures 3, 4, and 6",29
"Table S4, Figure 2",29
"Text p. 285",29
"Table I, Figure 3",29
"Figures 3, S2",29
"Figures 1 and S4 and Data File S2",29
"Figures 1E, S4 and Table S4",28
"Figure 1, Supplementary Table S1",28
"Figures 5C and 6",28
"Figures 6, 7",28
"Figure 1, Supplementary Materials, Supplemental Figure 1",28
"Figure 2 and table 1",28
"Data S1",28
"Figure 8 A",28
"Table 1 and Figure 7",28
"Figures 2, 3, 4 and 5",28
"Figure 1 and Table 4",28
"Figures 1, S3 and Table S2",27
"Figures 1, 2, and 4",27
"Figure 3, Extended Data Figure 5",27
"Tables 1-2",27
"Tables1-3, Figures 1-7",27
"Table 4, Figures 3 and 5",27
"Figures 1, 2, 4",27
"Table 1, Figures 2, 3, 4",27
"Figure 2, Extended Data Figure 3 and Supplementary Table 1",27
"Tables 1, 3",27
"Table 1, Figure S1",27
"Figure 2b",27
"Figure 2 Supplementary Figure 3",27
"Figure S4 and Table S4",27
"Table 3 and Figures 3 and 6",27
"Figures 1, 3 and 4",27
"Table 3, Figures S4, S6",27
"Figure 2 and Supplemental Figure 2",27
"Figure 1 and Supplementary Information Figure S2",27
"Figure 2 and Supplementary Figure 4",27
"Table 1 and Figure S4",27
"Figure S4 and Table S1",27
"Table 4 and Figure 4",26
"Figure 1, Table S1",26
"Figure 2 and Dataset S4",26
"Figure S4B",26
"Figures 3 and 4 and Supplementary Table 4",26
"Supplemental Table 4 and File 1B",26
"Figures 1, 2 and Table 2",26
"Text page 8135",26
"Figure 3, Supplementary Figure 3",26
"Table 2, S2 Data",26
"Table S2 and Figure S2",26
"Text p. 421",26
"Figures 6, S8",26
"Figure 1E, F, G, Figure S3",26
"Text page 246",26
"Figure S7 and Table S1",26
"Text p 677",26
"Figures 3, S3",26
"Figures 3 and 7",26
"Figures 4-7",26
"Figure 1, table 2",25
"Figures 2 and 3, Table 1",25
"Table 3, Figure 2",25
"Figure 4, S4 A and Table 5, S1",25
"Figure S9",25
"Figure 3, Table S1",25
"Figure 1, Text p 431",25
"Figure 3 and Supplementary Figure 4",25
"Table 4 and Figures 1 and 2",25
"Table I and Figure 3",25
"Tables 3 and 4, Figures 4 and 5",25
"Figure 3 and Table 4",25
"Figure S4 B and Table 5, S1",25
"Figures 1, 2 and S2",25
"Table 4 and Figure 2",25
"Figure 2A,B",24
"Table 4 and Figure 6",24
"Figures 2, S2",24
"Tables 1 and 3 and Figures 1 and 3",24
"Figures 8 and 9",24
"Figures 3, S4 and Table S3",24
"Figure 1, Tables 1, and 2",24
"Tables 2 and S1 and Figure S2",24
"Table E1",24
"Figure 4, Table 3",24
"Supplementary Figure 4 and Supplementary Table S2",24
"Figure 4 and Supplementary Table  2",24
"Figures 3 and 4 and Table 1",24
"Figure 4, Supplementary Figure 2",24
"Table 4 and Figure 3",24
"Figures 2-4",24
"Figure S6 and Table S6",24
"Figure 2, Table 3",24
"Figure 1.",24
"Table 6, Figure 5",24
"Text p. 46",24
"Figures 1, 2, 4 and Table 2",24
"Data not shown, Results page 52",24
"Figure E3",23
"Figure 6b",23
"Supplementary Figure S3d",23
"Figures 1, 6 and Supplemental Table 2",23
"Figures 1 and 2, Table 2",23
"Supplementary Figure S3b",23
"Table 4, Figure S4",23
"Results page 2120",23
"Supplementary Figure S3c",23
"Figures 5-6",23
"Figure 4 and S4",23
"Tables 1, 2, and 3",23
"Table 1 and Figure 1A",23
"Figure 3F",23
"Table S1 and Figure S5",23
"Supplementary Table 8",23
"Figures 1, 2 and 5",23
"Figure 2B and Figure 3A",23
"Supplementary Figure S3a",23
"page 2703",23
"Figure 5, Table 1",23
"Extended Data Figure 5 and Extended Data Table 2",23
"Figures 1, 2 and S1",23
"Table II and Figures 1-3",23
