h_age	h_organism_id	h_organism_name	age_normalized	age_specified	age_minimum	age_maximum	age_unit	age_comment	index
42 and 43 years	9606	Homo sapiens (human)	42 and 43 years						4188
12 weeks - 22 months	10000067	Mus musculus C57BL/6	12 weeks - 22 months						4197
32 or 34 years	9606	Homo sapiens (human)	32 or 34 years						4218
12 weeks to 20 months	10000067	Mus musculus C57BL/6	12 weeks to 20 months						4225
6 weeks to 20 months	10000067	Mus musculus C57BL/6	6 weeks to 20 months						4226
58.8 (average)	9606	Homo sapiens (human)	58.8 (average)						4252
10 weeks or older	10000632	Mus musculus NOD	10 weeks or older						4273
6 ± 2 weeks	10000067	Mus musculus C57BL/6	6 ± 2 weeks						4318
over 5 weeks	10000067	Mus musculus C57BL/6	over 5 weeks						4332
21, 25 and 44 years	9606	Homo sapiens (human)	21, 25 and 44 years						4339
21 and 44 years	9606	Homo sapiens (human)	21 and 44 years						4349
16 and 44 years	9606	Homo sapiens (human)	16 and 44 years						4351
38 and 48 years	9606	Homo sapiens (human)	38 and 48 years						4353
38 and 44 years	9606	Homo sapiens (human)	38 and 44 years						4354
Mean age of 32.2 years with a range from 18 to 49 years	9606	Homo sapiens (human)	mean age of 32.2 years with a range from 18 to 49 years						4408
58.8 ± 17.4	9606	Homo sapiens (human)	58.8 ± 17.4						4439
3 months- 17 years	9606	Homo sapiens (human)	3 months- 17 years						4452
1 day to 40 years	9606	Homo sapiens (human)	1 day to 40 years						4528
over 12 weeks	10000632	Mus musculus NOD	over 12 weeks						4651
60+ years	9606	Homo sapiens (human)	60+ years						4659
7 months to 44 years	9606	Homo sapiens (human)	7 months to 44 years						4667
4-18+ years	9606	Homo sapiens (human)	4-18+ years						4772
55 years (mean)	9606	Homo sapiens (human)	55 years (mean)						4776
14 and younger	9606	Homo sapiens (human)	14 and younger						4839
More than 15 years	9606	Homo sapiens (human)	more than 15 years						4856
2-day to 6-week old	10000000	Mus musculus BALB/c	2-day to 6-week old						4870
6-24 mo of age	9606	Homo sapiens (human)	6-24 mo of age						4876
56.3 +/- 12.8 years	9606	Homo sapiens (human)	56.3 +/- 12.8 years						4894
2 to >20 years	9606	Homo sapiens (human)	2 to >20 years						4901
3 months to 7 years	9606	Homo sapiens (human)	3 months to 7 years						4965
up to 12 weeks old	10000047	Mus musculus C57BL/10	up to 12 weeks old						4971
Younger than 35 years	9606	Homo sapiens (human)	younger than 35 years						4975
Children <5 years old	9606	Homo sapiens (human)	children <5 years old						4994
8 weeks or 12 months	10000000	Mus musculus BALB/c	8 weeks or 12 months						5011
