as_location,occurrences
"Tables 1 and 4",3
"Figure 4 and Text P. 934",3
"Figures 1, 3, Supplementary Figure S1 and Table 1",3
"Tables I, III, Figures 1 and S4",3
"Figure 4E",3
"Figure 2b and Table 3",3
"Figure 2c and Table 3",3
"Figure 2e and Table 3",3
"Figure 1a and Table 3",3
"Supplementary Figure S1A",3
"Figure 1, Tables 1 and 2",3
"Figures 2, 3, 4, 5",3
"Figure 3A, B",3
"Table 1, Figures 1, 2 and 4",3
"Figure S1 and Table 1",3
"Figure 2d and Table 3",3
"Tables 1 and 3 and Figure 2",3
"Text p.2868",3
"Figure 5, Supplementary Table 3 and PDB 3GIV",3
"Tables 1, 2 and Figure 2",3
"Table 2 and Figures 1 and 2",3
"Figure 4 and Table 2",3
"Figures 2 and 4 and Table 2",3
"Figures S1 and S2",3
"Tables 2, 3 and Figure S6",3
"Figures 2, S4",3
"Figures 1, 3 and table 3",3
"Table S7 and Figure S19",3
"Extended Data Figure 14",3
"Table 2, Fig. 3",3
"Figure 1 and 5",3
"Extended Data Figure 3",3
"Table I and Supplementary Figure 2",3
"Figure 3 and S4",3
"Figure 4, 5",3
"Table S1 and Figure 5",2
"Text page1233-1234",2
"Figure 6 and Table 3",2
"Figures 1B and 1C",2
"Supplementary Table 9, 11",2
"text p. 1745",2
"text p. 1746",2
"Text page 430",2
"Table 4, Table 2",2
"Figure 1and 2",2
"Supl Fig 3",2
"Table 2, Figure 3",2
"Figure 6, Figure 5",2
"Figures 2, 3, 4, Table 3A,B and PDB 2F54",2
"Figures 2 to 5",2
"Figures 2, 3, 4, 5 and 6",2
"Table 2, figure 4",2
"Figures 7 and 10",2
"Text page 1310",2
"Figure 2, Supplementary Table S1 and PDB 6GB5 (v1.2)",2
"Figures 3, S2, Supplementary Table S1 and PDB 6GB7 (v1.2)",2
"Text p 654-655",2
"Figures 2, 4, 5, Supplemental Figures S2, S4",2
"Table II and Supplemental Figure 1",2
"Figure 5 and Tables 2 and 3",2
"Supplementary Tables 1, 2, Figure 1 and PDB 2CLZ",2
"Figure 6F",2
"Figures 1E, 3, 4D and 4F",2
"Page 788",2
"Tables 2 and 3, figure 1",2
"Table 2, figures 4 and 5",2
"Tables 1, 2, Figures 1, 2, and PDB 2AK4",2
"Figures 4, 5, and 7",2
"Figures 2, 4, 5, 6 and 7",2
"Figures 1, 3 and S10",2
"Figure S2 and s3",2
"Figure S2 and S11",2
"Table 5, Table 2",2
"Table 6, Table S2",2
"Text p. 3890",2
"Table 1 and Figures 1, 2",2
"Figures 1A and 4",2
"Text, page 6438",2
"Figures 1B, 4A",2
"Text page 6",2
"Tables II, III",2
"Figures 7 and S4",2
"Table 1, Figure 3 and Supplemental Figure 2",2
"Tables 1 and 2, Figure 3",2
"Figures 1 and 6",2
"Text page 472, Text pages 471-472",2
"Table 1 and Figure 2b",2
"Table 1 and 2, Figure 1",2
"Figure 1and Table 2",2
"Table S6 and Figure S2",2
"Table I,  figure 3 and 4",2
"Figure 3 and Table 6 and Supplental Table 2",2
"Figure 2, Table III",2
"Figures 8 and 9",2
"Figures 3 and S7",2
"Figures 2, 3, 4, S1 and Tables 1 and S1",2
"Figures 1, 2, and 4",2
"Figure 11",2
"Tables 3, 6 and S2",2
"Tables 3 and S1",2
"Figure 2 B, Table 2",2
"Figure 2 C, Table 2",2
"Figure 4 and Text p. 5086",2
