h_age	h_organism_id	h_organism_name	index	char_normalized_h_age	char_normalized	char_valid?_h_age	char_normalization_score_h_age	word_normalized_h_age	word_normalized	word_valid?_h_age	word_normalization_score_h_age	phrase_normalized_h_age	phrase_normalized	phrase_valid?_h_age	phrase_normalization_score_h_age	overall_normalization_score_h_age	curator_review
41-73	9606	Homo sapiens (human)	1265	41-73	N	pass	0	41-73	N	pass	0	41-73	N	fail	0	0	
32-58	9606	Homo sapiens (human)	1273	32-58	N	pass	0	32-58	N	pass	0	32-58	N	fail	0	0	
mean age 26.5 years	9606	Homo sapiens (human)	1290	mean age 26.5 years	N	pass	0	mean age 26.5 year	Y	pass	1	mean age 26.5 year	N	fail	0	1	
38.6 years (mean age)	9606	Homo sapiens (human)	1336	38.6 years (mean age)	N	pass	0	38.6 year (mean age)	Y	pass	1	38.6 year (mean age)	N	fail	0	1	
2 months or 2-10 months	10000047	Mus musculus C57BL/10	1345	2 months or 2-10 months	N	pass	0	2 month or 2-10 month	Y	pass	2	2 month or 2-10 month	N	fail	0	2	
average age = 19.2 years	9606	Homo sapiens (human)	1374	average age = 19.2 years	N	pass	0	average age = 19.2 year	Y	pass	1	average age = 19.2 year	N	fail	0	1	
51	9606	Homo sapiens (human)	1375	51	N	pass	0	51	N	pass	0	51	N	fail	0	0	
50-58	9606	Homo sapiens (human)	1377	50-58	N	pass	0	50-58	N	pass	0	50-58	N	fail	0	0	
30-45	9606	Homo sapiens (human)	1378	30-45	N	pass	0	30-45	N	pass	0	30-45	N	fail	0	0	
28-44	9606	Homo sapiens (human)	1383	28-44	N	pass	0	28-44	N	pass	0	28-44	N	fail	0	0	
54	9606	Homo sapiens (human)	1397	54	N	pass	0	54	N	pass	0	54	N	fail	0	0	
within 12 hours of birth	10000038	Mus musculus C3H/He	1403	within 12 hours of birth	N	pass	0	within 12 hour of birth	Y	pass	1	within 12 hour of birth	N	fail	0	1	
older than 8 weeks	10000216	Mus musculus C57BL/6 X BALB/c	1413	older than 8 weeks	N	pass	0	older than 8 week	Y	pass	1	older than 8 week	N	fail	0	1	
36	9606	Homo sapiens (human)	1425	36	N	pass	0	36	N	pass	0	36	N	fail	0	0	
43	9606	Homo sapiens (human)	1429	43	N	pass	0	43	N	pass	0	43	N	fail	0	0	
48	9606	Homo sapiens (human)	1430	48	N	pass	0	48	N	pass	0	48	N	fail	0	0	
29	9606	Homo sapiens (human)	1431	29	N	pass	0	29	N	pass	0	29	N	fail	0	0	
27	9606	Homo sapiens (human)	1438	27	N	pass	0	27	N	pass	0	27	N	fail	0	0	
38	9606	Homo sapiens (human)	1442	38	N	pass	0	38	N	pass	0	38	N	fail	0	0	
45-52	9606	Homo sapiens (human)	1468	45-52	N	pass	0	45-52	N	pass	0	45-52	N	fail	0	0	
12-20	10001537	Mus musculus PL	1478	12-20	N	pass	0	12-20	N	pass	0	12-20	N	fail	0	0	
Adult (avg. age = 30.8 years)	9606	Homo sapiens (human)	1495	adult (avg. age = 30.8 years)	Y	pass	1	adult (avg. age = 30.8 years)	N	pass	0	adult (avg. age = 30.8 years)	N	fail	0	1	
24 hours after birth	10000274	Mus musculus B10.PL	1524	24 hours after birth	N	pass	0	24 hour after birth	Y	pass	1	24 hour after birth	N	fail	0	1	
19-25	9606	Homo sapiens (human)	1539	19-25	N	pass	0	19-25	N	pass	0	19-25	N	fail	0	0	
19-26	9606	Homo sapiens (human)	1540	19-26	N	pass	0	19-26	N	pass	0	19-26	N	fail	0	0	
Children (avg. age = 9.5 years)	9606	Homo sapiens (human)	1543	children (avg. age = 9.5 years)	Y	pass	1	child (avg. age = 9.5 years)	Y	pass	3	child (avg. age = 9.5 years)	N	fail	0	4	
39	9606	Homo sapiens (human)	1558	39	N	pass	0	39	N	pass	0	39	N	fail	0	0	
mean age 31 years	9606	Homo sapiens (human)	1593	mean age 31 years	N	pass	0	mean age 31 year	Y	pass	1	mean age 31 year	N	fail	0	1	
8 weeks or older	10000000	Mus musculus BALB/c	1594	8 weeks or older	N	pass	0	8 week or older	Y	pass	1	8 week or older	N	fail	0	1	
29-55	9606	Homo sapiens (human)	1616	29-55	N	pass	0	29-55	N	pass	0	29-55	N	fail	0	0	
19-48	9606	Homo sapiens (human)	1620	19-48	N	pass	0	19-48	N	pass	0	19-48	N	fail	0	0	
23-53	9606	Homo sapiens (human)	1639	23-53	N	pass	0	23-53	N	pass	0	23-53	N	fail	0	0	
24-36	9606	Homo sapiens (human)	1640	24-36	N	pass	0	24-36	N	pass	0	24-36	N	fail	0	0	
median age 28 years	9606	Homo sapiens (human)	1647	median age 28 years	N	pass	0	median age 28 year	Y	pass	1	median age 28 year	N	fail	0	1	
15	9606	Homo sapiens (human)	1652	15	N	pass	0	15	N	pass	0	15	N	fail	0	0	
43-65	9606	Homo sapiens (human)	1669	43-65	N	pass	0	43-65	N	pass	0	43-65	N	fail	0	0	
Mean age 65 years	9606	Homo sapiens (human)	1683	mean age 65 years	Y	pass	1	mean age 65 year	Y	pass	1	mean age 65 year	N	fail	0	2	
18-70	9606	Homo sapiens (human)	1724	18-70	N	pass	0	18-70	N	pass	0	18-70	N	fail	0	0	
~ 31 to 55 years	9606	Homo sapiens (human)	1732	~ 31 to 55 years	N	pass	0	~ 31 to 55 year	Y	pass	1	~ 31-55 year	Y	fail	4	5	
Adults (15-44)	9606	Homo sapiens (human)	1774	adults (15-44)	Y	pass	1	adult (15-44)	Y	pass	1	adult (15-44)	N	fail	0	2	
mean age 34.4 years	9606	Homo sapiens (human)	1806	mean age 34.4 years	N	pass	0	mean age 34.4 year	Y	pass	1	mean age 34.4 year	N	fail	0	1	
6-8	10000649	Mus musculus SJL	1823	6-8	N	pass	0	6-8	N	pass	0	6-8	N	fail	0	0	
6-8	10000062	Mus musculus FVB/J	1824	6-8	N	pass	0	6-8	N	pass	0	6-8	N	fail	0	0	
6-8	10000053	Mus musculus DBA	1826	6-8	N	pass	0	6-8	N	pass	0	6-8	N	fail	0	0	
4 wk - 3 mo	10000000	Mus musculus BALB/c	1841	4 wk - 3 mo	N	pass	0	4 week - 3 month	Y	fail	5	4 week - 3 month	N	fail	0	5	
mean age = 30 years	9606	Homo sapiens (human)	1851	mean age = 30 years	N	pass	0	mean age = 30 year	Y	pass	1	mean age = 30 year	N	fail	0	1	
8 weeks to 6 months	10000253	Mus musculus A/J	1868	8 weeks to 6 months	N	pass	0	8 week to 6 month	Y	fail	2	8 week to 6 month	N	fail	0	2	
8 weeks to 6 months	10000067	Mus musculus C57BL/6	1869	8 weeks to 6 months	N	pass	0	8 week to 6 month	Y	fail	2	8 week to 6 month	N	fail	0	2	
8 weeks to 6 months	10000000	Mus musculus BALB/c	1870	8 weeks to 6 months	N	pass	0	8 week to 6 month	Y	fail	2	8 week to 6 month	N	fail	0	2	
40 years or older	10000119	Homo sapiens Caucasian	1917	40 years or older	N	pass	0	40 year or older	Y	pass	1	40 year or older	N	fail	0	1	
21-35	9606	Homo sapiens (human)	1918	21-35	N	pass	0	21-35	N	pass	0	21-35	N	fail	0	0	
68-76	9606	Homo sapiens (human)	1925	68-76	N	pass	0	68-76	N	pass	0	68-76	N	fail	0	0	
25-37	9606	Homo sapiens (human)	1926	25-37	N	pass	0	25-37	N	pass	0	25-37	N	fail	0	0	
14-74	9606	Homo sapiens (human)	1934	14-74	N	pass	0	14-74	N	pass	0	14-74	N	fail	0	0	
25-73	9606	Homo sapiens (human)	1941	25-73	N	pass	0	25-73	N	pass	0	25-73	N	fail	0	0	
20-51	9606	Homo sapiens (human)	1955	20-51	N	pass	0	20-51	N	pass	0	20-51	N	fail	0	0	
60	9606	Homo sapiens (human)	1973	60	N	pass	0	60	N	pass	0	60	N	fail	0	0	
34	9606	Homo sapiens (human)	1976	34	N	pass	0	34	N	pass	0	34	N	fail	0	0	
38-53	9606	Homo sapiens (human)	1988	38-53	N	pass	0	38-53	N	pass	0	38-53	N	fail	0	0	
mean age = 27 years	9606	Homo sapiens (human)	1989	mean age = 27 years	N	pass	0	mean age = 27 year	Y	pass	1	mean age = 27 year	N	fail	0	1	
16-53	9606	Homo sapiens (human)	2011	16-53	N	pass	0	16-53	N	pass	0	16-53	N	fail	0	0	
19-57	9606	Homo sapiens (human)	2017	19-57	N	pass	0	19-57	N	pass	0	19-57	N	fail	0	0	
30-78	9606	Homo sapiens (human)	2030	30-78	N	pass	0	30-78	N	pass	0	30-78	N	fail	0	0	
68 years, and 70 years	9606	Homo sapiens (human)	2059	68 years, and 70 years	N	pass	0	68 year, and 70 year	Y	pass	2	68 year, and 70 year	N	fail	0	2	
mean age = 49.2 years	9606	Homo sapiens (human)	2061	mean age = 49.2 years	N	pass	0	mean age = 49.2 year	Y	pass	1	mean age = 49.2 year	N	fail	0	1	
13-45	9606	Homo sapiens (human)	2087	13-45	N	pass	0	13-45	N	pass	0	13-45	N	fail	0	0	
12-43	9606	Homo sapiens (human)	2088	12-43	N	pass	0	12-43	N	pass	0	12-43	N	fail	0	0	
46	9606	Homo sapiens (human)	2091	46	N	pass	0	46	N	pass	0	46	N	fail	0	0	
10-52	9606	Homo sapiens (human)	2092	10-52	N	pass	0	10-52	N	pass	0	10-52	N	fail	0	0	
12-41	9606	Homo sapiens (human)	2094	12-41	N	pass	0	12-41	N	pass	0	12-41	N	fail	0	0	
13	9606	Homo sapiens (human)	2096	13	N	pass	0	13	N	pass	0	13	N	fail	0	0	
Median age 5.5 years	9606	Homo sapiens (human)	2098	median age 5.5 years	Y	pass	1	median age 5.5 year	Y	pass	1	median age 5.5 year	N	fail	0	2	
27 to 51	9606	Homo sapiens (human)	2106	27 to 51	N	pass	0	27 to 51	N	pass	0	27-51	Y	fail	4	4	
40	9606	Homo sapiens (human)	2132	40	N	pass	0	40	N	pass	0	40	N	fail	0	0	
12 years 9 months	9606	Homo sapiens (human)	2158	12 years 9 months	N	pass	0	12 year 9 month	Y	fail	2	12 year 9 month	N	fail	0	2	
19	9606	Homo sapiens (human)	2162	19	N	pass	0	19	N	pass	0	19	N	fail	0	0	
28	9606	Homo sapiens (human)	2166	28	N	pass	0	28	N	pass	0	28	N	fail	0	0	
50 ± 15 years	9606	Homo sapiens (human)	2200	50 +/- 15 years	Y	pass	3	50 +/- 15 year	Y	pass	1	50 +/- 15 year	N	fail	0	4	
40 ± 12 years	9606	Homo sapiens (human)	2201	40 +/- 12 years	Y	pass	3	40 +/- 12 year	Y	pass	1	40 +/- 12 year	N	fail	0	4	
6-8 weeks, and 4 months	10000067	Mus musculus C57BL/6	2237	6-8 weeks, and 4 months	N	pass	0	6-8 week, and 4 month	Y	fail	2	6-8 week, and 4 month	N	fail	0	2	
