unit	median_age	h_age	h_organism_id	h_organism_name	index	normalized_h_age	normalized_h_age_style=age	exact_age	minimum_age	maximum_age	mean_age	age_list	age_description	age_data_type
		Mean=8.4 ± 4.3	9606	Homo sapiens (human)	5758	mean=8.4 +/- 4.3	mean=8.4 +/- 4.3		4.1	12.7	8.4			manual
year		6 months - 9 years	9606	Homo sapiens (human)	5773	6 month - 9 year	6 month - 9 year		0.5	9				manual
year		adults, >32 years	9606	Homo sapiens (human)	5791	adults, >32 year	adults, >32 year			32				manual
year		elderly > 70 years	9606	Homo sapiens (human)	5794	elderly > 70 year	elderly >70 year			70				manual
year		3 months to 64 years	9606	Homo sapiens (human)	5797	3 month to 64 year	3 month to 64 year		0.25	64				manual
year		7 months - 9 years	9606	Homo sapiens (human)	5804	7 month - 9 year	7 month - 9 year		0.583	9				manual
year		3 months to 2 years	9606	Homo sapiens (human)	5806	3 month to 2 year	3 month to 2 year		0.25	2				manual
year		4 months-30 years	9606	Homo sapiens (human)	5836	4 month-30 year	4 month-30 year		0.333	30				manual
year		4 months-15 years	9606	Homo sapiens (human)	5840	4 month-15 year	4 month-15 year		0.333	15				manual
week		21, 27 and 36 weeks	10001405	Mus musculus NZB X NZW	5920	21, 27 and 36 week	21, 27 and 36 week		21	36				manual
week		Within 1 week after birth	9606	Homo sapiens (human)	5932	within 1 week after birth	within 1 week after birth			1				manual
year		under 7 years	9606	Homo sapiens (human)	5973	under 7 year	under 7 year			7				manual
year		31and 73 years	9606	Homo sapiens (human)	6026	31and 73 year	31and 73 year		31	73				manual
year		2 and 6 years	9615	Canis lupus familiaris (dogs)	6056	2 and 6 year	2 and 6 year		2	6				manual
year		21 months-45 years	9606	Homo sapiens (human)	6064	21 month-45 year	21 month-45 year		1.75	45				manual
year	33	Median age 33 years	9606	Homo sapiens (human)	6068	median age 33 year	median age 33 year							manual
year		36.1 years (mean)	9606	Homo sapiens (human)	6119	36.1 year (mean)	36.1 year (mean)				36.1			manual
day		100 day fetus	10001726	Sus scrofa Miniature Minnesota	6131	100 day fetus	100 day fetus	100					fetus	manual
		Mean age of 54. 04	9606	Homo sapiens (human)	6160	mean age of 54. 04	mean age of 54. 04				54.04			manual
week		6–8weeks old	10000000	Mus musculus BALB/c	6171	6-8weeks old	6-8weeks old		6	8				manual
year		25 years mean age	9606	Homo sapiens (human)	6223	25 year mean age	25 year mean age				25			manual
year	21	median age 21 years	9606	Homo sapiens (human)	6291	median age 21 year	median age 21 year							manual
year		1 year 8 months to 68 years	9606	Homo sapiens (human)	6300	1 year 8 month to 68 year	1 year 8 month to 68 year		1.667	68				manual
year	11	0.7 to 20.9 years (median = 11.0)	9606	Homo sapiens (human)	6328	0.7 to 20.9 year (median = 11.0)	0.7-20.9 year (median = 11.0)		0.7	20.9				manual
year		58.4 +/- 14.3 years	9606	Homo sapiens (human)	6357	58.4 +/- 14.3 year	58.4 +/- 14.3 year		44.1	72.7				manual
year		<42-79 years	9606	Homo sapiens (human)	6359	<42-79 year	<42-79 year			79				manual
year		1 month - 13 years	9606	Homo sapiens (human)	6362	1 month - 13 year	1 month - 13 year		0.083	13				manual
month		6 or 12 months	10001286	Mus musculus APPswe/PSEN1	6374	6 or 12 month	6 or 12 month		6	12				manual
year		1 day to 103 years	9606	Homo sapiens (human)	6408	1 day to 103 year	1 day to 103 year		0.003	103				manual
month		43 t0 53 months	9483	Callithrix jacchus (common marmoset)	6427	43 t0 53 month	43 t0 53 month		43	53				manual
