before_char_normalization	en-dash	em-dash	plus-minus	strip_whitespace	remove_multi_whitespace	convert_to_ascii	lowercase	after_char_normalization	index
7 to 8 weeks	N	N	N	N	N	N	N	7 to 8 weeks	5624
35-43 years	N	N	N	N	N	N	N	35-43 years	5625
18-67 years	N	N	N	N	N	N	N	18-67 years	5626
24-49	N	N	N	N	N	N	N	24-49	5627
6 to 15 weeks	N	N	N	N	N	N	N	6 to 15 weeks	5628
40 to 44 years	N	N	N	N	N	N	N	40 to 44 years	5629
3-5 months	N	N	N	N	N	N	N	3-5 months	5630
4 to 60 months	N	N	N	N	N	N	N	4 to 60 months	5631
8 days	N	N	N	N	N	N	N	8 days	5632
19 weeks	N	N	N	N	N	N	N	19 weeks	5633
60 to 74 years	N	N	N	N	N	N	N	60 to 74 years	5634
3-5 months	N	N	N	N	N	N	N	3-5 months	5635
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	5636
newborns - 29 years	N	N	N	N	N	N	N	newborns - 29 years	5637
23 to 82 years	N	N	N	N	N	N	N	23 to 82 years	5638
1 year 5 months to 15 years 8 months	N	N	N	N	N	N	N	1 year 5 months to 15 years 8 months	5639
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	5640
>24 weeks	N	N	N	N	N	N	N	>24 weeks	5641
>22 weeks	N	N	N	N	N	N	N	>22 weeks	5642
8-20 weeks	N	N	N	N	N	N	N	8-20 weeks	5643
NULL	N	N	N	N	N	N	Y	null	5644
33 to 60 years	N	N	N	N	N	N	N	33 to 60 years	5645
16 months	N	N	N	N	N	N	N	16 months	5646
12-15 weeks	N	N	N	N	N	N	N	12-15 weeks	5647
27-55 years	N	N	N	N	N	N	N	27-55 years	5648
> 65 years	N	N	N	N	N	N	N	> 65 years	5649
21-78 years	N	N	N	N	N	N	N	21-78 years	5650
23-79 years	N	N	N	N	N	N	N	23-79 years	5651
62	N	N	N	N	N	N	N	62	5652
29-56 years	N	N	N	N	N	N	N	29-56 years	5653
6 days to 7  months	N	N	N	N	Y	N	N	6 days to 7 months	5654
8 weeks	N	N	N	N	N	N	N	8 weeks	5655
average= 34.6 years	N	N	N	N	N	N	N	average= 34.6 years	5656
NULL	N	N	N	N	N	N	Y	null	5657
average= 53.4  years	N	N	N	N	Y	N	N	average= 53.4 years	5658
average= 56.4  years	N	N	N	N	Y	N	N	average= 56.4 years	5659
8 weeks	N	N	N	N	N	N	N	8 weeks	5660
70 days	N	N	N	N	N	N	N	70 days	5661
12-80 years	N	N	N	N	N	N	N	12-80 years	5662
22 years	N	N	N	N	N	N	N	22 years	5663
13 years	N	N	N	N	N	N	N	13 years	5664
5-59 years	N	N	N	N	N	N	N	5-59 years	5665
17-132 days	N	N	N	N	N	N	N	17-132 days	5666
College age	N	N	N	N	N	N	Y	college age	5667
2 months old	N	N	N	N	N	N	N	2 months old	5668
NULL	N	N	N	N	N	N	Y	null	5669
12 weeks	N	N	N	N	N	N	N	12 weeks	5670
3 weeks - 6 months	N	N	N	N	N	N	N	3 weeks - 6 months	5671
5-6 years	N	N	N	N	N	N	N	5-6 years	5672
60-90-days-old	N	N	N	N	N	N	N	60-90-days-old	5673
4-5 weeks	N	N	N	N	N	N	N	4-5 weeks	5674
31–83 years	Y	N	N	N	N	N	N	31-83 years	5675
3-week old	N	N	N	N	N	N	N	3-week old	5676
15 weeks old	N	N	N	N	N	N	N	15 weeks old	5677
Adults	N	N	N	N	N	N	Y	adults	5678
3 months to 11 years	N	N	N	N	N	N	N	3 months to 11 years	5679
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	5680
0.9 to 3.7 years	N	N	N	N	N	N	N	0.9 to 3.7 years	5681
22–59 years	Y	N	N	N	N	N	N	22-59 years	5682
4-5 weeks	N	N	N	N	N	N	N	4-5 weeks	5683
4-5 weeks	N	N	N	N	N	N	N	4-5 weeks	5684
6 months	N	N	N	N	N	N	N	6 months	5685
22–59	Y	N	N	N	N	N	N	22-59	5686
> 18 years old	N	N	N	N	N	N	N	> 18 years old	5687
6 weeks	N	N	N	N	N	N	N	6 weeks	5688
22-70 years	N	N	N	N	N	N	N	22-70 years	5689
8 weeks	N	N	N	N	N	N	N	8 weeks	5690
4-115 months	N	N	N	N	N	N	N	4-115 months	5691
46-79 years	N	N	N	N	N	N	N	46-79 years	5692
4-5 weeks	N	N	N	N	N	N	N	4-5 weeks	5693
5 weeks	N	N	N	N	N	N	N	5 weeks	5694
NULL	N	N	N	N	N	N	Y	null	5695
NULL	N	N	N	N	N	N	Y	null	5696
4-5 months	N	N	N	N	N	N	N	4-5 months	5697
3 weeks	N	N	N	N	N	N	N	3 weeks	5698
1-35 years	N	N	N	N	N	N	N	1-35 years	5699
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	5700
NULL	N	N	N	N	N	N	Y	null	5701
7 to 8 weeks	N	N	N	N	N	N	N	7 to 8 weeks	5702
10-20 weeks	N	N	N	N	N	N	N	10-20 weeks	5703
adult, >32 years	N	N	N	N	N	N	N	adult, >32 years	5704
7 to 11 years	N	N	N	N	N	N	N	7 to 11 years	5705
8-13 years	N	N	N	N	N	N	N	8-13 years	5706
NULL	N	N	N	N	N	N	Y	null	5707
11-72 years	N	N	N	N	N	N	N	11-72 years	5708
NULL	N	N	N	N	N	N	Y	null	5709
median 4 years	N	N	N	N	N	N	N	median 4 years	5710
8-15 weeks old	N	N	N	N	N	N	N	8-15 weeks old	5711
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	5712
3-15 years old	N	N	N	N	N	N	N	3-15 years old	5713
Young	N	N	N	N	N	N	Y	young	5714
6 weeks	N	N	N	N	N	N	N	6 weeks	5715
6-9 weeks	N	N	N	N	N	N	N	6-9 weeks	5716
40 to 50 days	N	N	N	N	N	N	N	40 to 50 days	5717
50-85 years	N	N	N	N	N	N	N	50-85 years	5718
8-14 weeks	N	N	N	N	N	N	N	8-14 weeks	5719
0.1-11 years	N	N	N	N	N	N	N	0.1-11 years	5720
8.9-13.8 years	N	N	N	N	N	N	N	8.9-13.8 years	5721
Foals	N	N	N	N	N	N	Y	foals	5722
40-75 years	N	N	N	N	N	N	N	40-75 years	5723
5 to 26	N	N	N	N	N	N	N	5 to 26	5724
9-81 years	N	N	N	N	N	N	N	9-81 years	5725
48.6 +/- 13.5 years	N	N	N	N	N	N	N	48.6 +/- 13.5 years	5726
NULL	N	N	N	N	N	N	Y	null	5727
3-4 months	N	N	N	N	N	N	N	3-4 months	5728
2 years	N	N	N	N	N	N	N	2 years	5729
NULL	N	N	N	N	N	N	Y	null	5730
1-40 years	N	N	N	N	N	N	N	1-40 years	5731
18 month old	N	N	N	N	N	N	N	18 month old	5732
37-43 years	N	N	N	N	N	N	N	37-43 years	5733
14 weeks	N	N	N	N	N	N	N	14 weeks	5734
44-86 years	N	N	N	N	N	N	N	44-86 years	5735
14	N	N	N	N	N	N	N	14	5736
4 to 6 weeks old	N	N	N	N	N	N	N	4 to 6 weeks old	5737
38 weeks	N	N	N	N	N	N	N	38 weeks	5738
10-39 years	N	N	N	N	N	N	N	10-39 years	5739
20-30 years	N	N	N	N	N	N	N	20-30 years	5740
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	5741
3-4 weeks	N	N	N	N	N	N	N	3-4 weeks	5742
NULL	N	N	N	N	N	N	Y	null	5743
34-70 years	N	N	N	N	N	N	N	34-70 years	5744
6 to 8 week	N	N	N	N	N	N	N	6 to 8 week	5745
26-30 weeks	N	N	N	N	N	N	N	26-30 weeks	5746
1-31 years	N	N	N	N	N	N	N	1-31 years	5747
NULL	N	N	N	N	N	N	Y	null	5748
7-14 months	N	N	N	N	N	N	N	7-14 months	5749
30 days	N	N	N	N	N	N	N	30 days	5750
55-89 years	N	N	N	N	N	N	N	55-89 years	5751
0-84 years	N	N	N	N	N	N	N	0-84 years	5752
9-10 months	N	N	N	N	N	N	N	9-10 months	5753
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	5754
3 weeks-15 years	N	N	N	N	N	N	N	3 weeks-15 years	5755
8 weeks	N	N	N	N	N	N	N	8 weeks	5756
5-7 weeks	N	N	N	N	N	N	N	5-7 weeks	5757
Mean=8.4 ± 4.3	N	N	Y	N	N	N	Y	mean=8.4 +/- 4.3	5758
24-33 years	N	N	N	N	N	N	N	24-33 years	5759
7-58 years	N	N	N	N	N	N	N	7-58 years	5760
26-67 yrs	N	N	N	N	N	N	N	26-67 yrs	5761
4-35 years	N	N	N	N	N	N	N	4-35 years	5762
12-13 months	N	N	N	N	N	N	N	12-13 months	5763
8 to 10 weeks old	N	N	N	N	N	N	N	8 to 10 weeks old	5764
65 days	N	N	N	N	N	N	N	65 days	5765
2 months	N	N	N	N	N	N	N	2 months	5766
5-8 years	N	N	N	N	N	N	N	5-8 years	5767
NULL	N	N	N	N	N	N	Y	null	5768
2 months	N	N	N	N	N	N	N	2 months	5769
12 weeks	N	N	N	N	N	N	N	12 weeks	5770
30 to 67	N	N	N	N	N	N	N	30 to 67	5771
6-11 months	N	N	N	N	N	N	N	6-11 months	5772
6 months - 9 years	N	N	N	N	N	N	N	6 months - 9 years	5773
6 to 84	N	N	N	N	N	N	N	6 to 84	5774
5 weeks	N	N	N	N	N	N	N	5 weeks	5775
39-59 years old	N	N	N	N	N	N	N	39-59 years old	5776
16 months	N	N	N	N	N	N	N	16 months	5777
32 to 78	N	N	N	N	N	N	N	32 to 78	5778
6-22.8 years	N	N	N	N	N	N	N	6-22.8 years	5779
2-50 years	N	N	N	N	N	N	N	2-50 years	5780
6-22.8	N	N	N	N	N	N	N	6-22.8	5781
>69 years	N	N	N	N	N	N	N	>69 years	5782
33-88 years	N	N	N	N	N	N	N	33-88 years	5783
8.6-22.8 years	N	N	N	N	N	N	N	8.6-22.8 years	5784
18 months	N	N	N	N	N	N	N	18 months	5785
49.3-69.9 years	N	N	N	N	N	N	N	49.3-69.9 years	5786
2 months	N	N	N	N	N	N	N	2 months	5787
9-10 months	N	N	N	N	N	N	N	9-10 months	5788
4.5-26 years	N	N	N	N	N	N	N	4.5-26 years	5789
8-16 weeks	N	N	N	N	N	N	N	8-16 weeks	5790
adults, >32 years	N	N	N	N	N	N	N	adults, >32 years	5791
19.8 to 38.8	N	N	N	N	N	N	N	19.8 to 38.8	5792
15-77 years	N	N	N	N	N	N	N	15-77 years	5793
elderly > 70 years	N	N	N	N	N	N	N	elderly > 70 years	5794
27-74 years	N	N	N	N	N	N	N	27-74 years	5795
14 days	N	N	N	N	N	N	N	14 days	5796
3 months to 64 years	N	N	N	N	N	N	N	3 months to 64 years	5797
8 to 12 weeks old	N	N	N	N	N	N	N	8 to 12 weeks old	5798
16-72 years	N	N	N	N	N	N	N	16-72 years	5799
8 months	N	N	N	N	N	N	N	8 months	5800
18-78 years	N	N	N	N	N	N	N	18-78 years	5801
6 weeks	N	N	N	N	N	N	N	6 weeks	5802
56.3 years	N	N	N	N	N	N	N	56.3 years	5803
7 months - 9 years	N	N	N	N	N	N	N	7 months - 9 years	5804
12-week-old	N	N	N	N	N	N	N	12-week-old	5805
3 months to 2 years	N	N	N	N	N	N	N	3 months to 2 years	5806
6 to 8 months	N	N	N	N	N	N	N	6 to 8 months	5807
19-49	N	N	N	N	N	N	N	19-49	5808
6-57 years	N	N	N	N	N	N	N	6-57 years	5809
18-53	N	N	N	N	N	N	N	18-53	5810
NULL	N	N	N	N	N	N	Y	null	5811
1 to 3 years	N	N	N	N	N	N	N	1 to 3 years	5812
16-54 years	N	N	N	N	N	N	N	16-54 years	5813
5 months	N	N	N	N	N	N	N	5 months	5814
17-81	N	N	N	N	N	N	N	17-81	5815
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	5816
7–8 weeks	Y	N	N	N	N	N	N	7-8 weeks	5817
7–8 weeks	Y	N	N	N	N	N	N	7-8 weeks	5818
20-82	N	N	N	N	N	N	N	20-82	5819
3 months	N	N	N	N	N	N	N	3 months	5820
8 to 24 weeks	N	N	N	N	N	N	N	8 to 24 weeks	5821
10-75 years	N	N	N	N	N	N	N	10-75 years	5822
4 to 8 weeks	N	N	N	N	N	N	N	4 to 8 weeks	5823
4 to 8 weeks	N	N	N	N	N	N	N	4 to 8 weeks	5824
8-12 months	N	N	N	N	N	N	N	8-12 months	5825
NULL	N	N	N	N	N	N	Y	null	5826
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	5827
10-week-old	N	N	N	N	N	N	N	10-week-old	5828
26 to 52 weeks	N	N	N	N	N	N	N	26 to 52 weeks	5829
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	5830
19-43	N	N	N	N	N	N	N	19-43	5831
14 to 41 years	N	N	N	N	N	N	N	14 to 41 years	5832
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	5833
2.5-16 years	N	N	N	N	N	N	N	2.5-16 years	5834
6-10 weeks	N	N	N	N	N	N	N	6-10 weeks	5835
4 months-30 years	N	N	N	N	N	N	N	4 months-30 years	5836
3 months	N	N	N	N	N	N	N	3 months	5837
3 months	N	N	N	N	N	N	N	3 months	5838
16-44 years	N	N	N	N	N	N	N	16-44 years	5839
4 months-15 years	N	N	N	N	N	N	N	4 months-15 years	5840
21-86 years	N	N	N	N	N	N	N	21-86 years	5841
33-66 years old	N	N	N	N	N	N	N	33-66 years old	5842
27 to 45 years	N	N	N	N	N	N	N	27 to 45 years	5843
21-47 years	N	N	N	N	N	N	N	21-47 years	5844
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	5845
36-43 days	N	N	N	N	N	N	N	36-43 days	5846
30-89 years old	N	N	N	N	N	N	N	30-89 years old	5847
18-47 years old	N	N	N	N	N	N	N	18-47 years old	5848
6-9 months	N	N	N	N	N	N	N	6-9 months	5849
11 weeks	N	N	N	N	N	N	N	11 weeks	5850
5 weeks	N	N	N	N	N	N	N	5 weeks	5851
11 months	N	N	N	N	N	N	N	11 months	5852
4-18 years	N	N	N	N	N	N	N	4-18 years	5853
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	5854
2-54 years-old	N	N	N	N	N	N	N	2-54 years-old	5855
5-11 years	N	N	N	N	N	N	N	5-11 years	5856
32-60	N	N	N	N	N	N	N	32-60	5857
9-10 weeks	N	N	N	N	N	N	N	9-10 weeks	5858
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	5859
5-49 years	N	N	N	N	N	N	N	5-49 years	5860
3-4 months	N	N	N	N	N	N	N	3-4 months	5861
8 weeks	N	N	N	N	N	N	N	8 weeks	5862
3-4 months	N	N	N	N	N	N	N	3-4 months	5863
NULL	N	N	N	N	N	N	Y	null	5864
8-14 weeks	N	N	N	N	N	N	N	8-14 weeks	5865
46-70 years	N	N	N	N	N	N	N	46-70 years	5866
49-56 years	N	N	N	N	N	N	N	49-56 years	5867
28 to 57 years	N	N	N	N	N	N	N	28 to 57 years	5868
3-4 months	N	N	N	N	N	N	N	3-4 months	5869
4-6 weeks	N	N	N	N	N	N	N	4-6 weeks	5870
2 months old	N	N	N	N	N	N	N	2 months old	5871
13-72 years	N	N	N	N	N	N	N	13-72 years	5872
8 to 12 weeks old	N	N	N	N	N	N	N	8 to 12 weeks old	5873
8 weeks old	N	N	N	N	N	N	N	8 weeks old	5874
12-16 weeks	N	N	N	N	N	N	N	12-16 weeks	5875
6.5 to 11 years	N	N	N	N	N	N	N	6.5 to 11 years	5876
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	5877
4 to 6 weeks	N	N	N	N	N	N	N	4 to 6 weeks	5878
54-74 years	N	N	N	N	N	N	N	54-74 years	5879
mean age 45 years	N	N	N	N	N	N	N	mean age 45 years	5880
3.5 months	N	N	N	N	N	N	N	3.5 months	5881
11-15 months	N	N	N	N	N	N	N	11-15 months	5882
10 months	N	N	N	N	N	N	N	10 months	5883
0.3-56 years	N	N	N	N	N	N	N	0.3-56 years	5884
0.5-36 years	N	N	N	N	N	N	N	0.5-36 years	5885
46-66 years	N	N	N	N	N	N	N	46-66 years	5886
NULL	N	N	N	N	N	N	Y	null	5887
0.3-45 years	N	N	N	N	N	N	N	0.3-45 years	5888
18-87 years	N	N	N	N	N	N	N	18-87 years	5889
mean age 59.8 years	N	N	N	N	N	N	N	mean age 59.8 years	5890
2-12 years	N	N	N	N	N	N	N	2-12 years	5891
14-64 years	N	N	N	N	N	N	N	14-64 years	5892
21-74 years	N	N	N	N	N	N	N	21-74 years	5893
32-46 years	N	N	N	N	N	N	N	32-46 years	5894
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	5895
5 to 6 weeks	N	N	N	N	N	N	N	5 to 6 weeks	5896
Adult	N	N	N	N	N	N	Y	adult	5897
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	5898
7 to 12 weeks	N	N	N	N	N	N	N	7 to 12 weeks	5899
21-77 years old	N	N	N	N	N	N	N	21-77 years old	5900
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	5901
2 months	N	N	N	N	N	N	N	2 months	5902
18-37 years	N	N	N	N	N	N	N	18-37 years	5903
15-83 years	N	N	N	N	N	N	N	15-83 years	5904
10-98 years	N	N	N	N	N	N	N	10-98 years	5905
15 to 71 years	N	N	N	N	N	N	N	15 to 71 years	5906
19-56 years	N	N	N	N	N	N	N	19-56 years	5907
18 months	N	N	N	N	N	N	N	18 months	5908
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	5909
14-42 years	N	N	N	N	N	N	N	14-42 years	5910
NULL	N	N	N	N	N	N	Y	null	5911
2 months	N	N	N	N	N	N	N	2 months	5912
16 to 72 years	N	N	N	N	N	N	N	16 to 72 years	5913
13-59 years	N	N	N	N	N	N	N	13-59 years	5914
36-38 weeks	N	N	N	N	N	N	N	36-38 weeks	5915
36-38 weeks	N	N	N	N	N	N	N	36-38 weeks	5916
7-month-old	N	N	N	N	N	N	N	7-month-old	5917
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	5918
5 months	N	N	N	N	N	N	N	5 months	5919
21, 27 and 36 weeks	N	N	N	N	N	N	N	21, 27 and 36 weeks	5920
10 to 12 weeks	N	N	N	N	N	N	N	10 to 12 weeks	5921
52-84 years	N	N	N	N	N	N	N	52-84 years	5922
22-72 years	N	N	N	N	N	N	N	22-72 years	5923
45 days	N	N	N	N	N	N	N	45 days	5924
6-10 weeks	N	N	N	N	N	N	N	6-10 weeks	5925
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	5926
17 months	N	N	N	N	N	N	N	17 months	5927
12-20 weeks	N	N	N	N	N	N	N	12-20 weeks	5928
12 - 20 weeks	N	N	N	N	N	N	N	12 - 20 weeks	5929
14-22 weeks	N	N	N	N	N	N	N	14-22 weeks	5930
50 to 68	N	N	N	N	N	N	N	50 to 68	5931
Within 1 week after birth	N	N	N	N	N	N	Y	within 1 week after birth	5932
17-58 years	N	N	N	N	N	N	N	17-58 years	5933
49-71 years	N	N	N	N	N	N	N	49-71 years	5934
47-62 years	N	N	N	N	N	N	N	47-62 years	5935
14-67 years	N	N	N	N	N	N	N	14-67 years	5936
50-74 years	N	N	N	N	N	N	N	50-74 years	5937
0.3-5.7 years	N	N	N	N	N	N	N	0.3-5.7 years	5938
10-12 weeks	N	N	N	N	N	N	N	10-12 weeks	5939
16-17 years	N	N	N	N	N	N	N	16-17 years	5940
10-12 weeks	N	N	N	N	N	N	N	10-12 weeks	5941
6 weeks	N	N	N	N	N	N	N	6 weeks	5942
15-73 years	N	N	N	N	N	N	N	15-73 years	5943
26-47 years	N	N	N	N	N	N	N	26-47 years	5944
32 to 66 years	N	N	N	N	N	N	N	32 to 66 years	5945
48-51	N	N	N	N	N	N	N	48-51	5946
40.8-69.4 years	N	N	N	N	N	N	N	40.8-69.4 years	5947
21 days	N	N	N	N	N	N	N	21 days	5948
Young adult	N	N	N	N	N	N	Y	young adult	5949
23-66 years old	N	N	N	N	N	N	N	23-66 years old	5950
6-62 years-old	N	N	N	N	N	N	N	6-62 years-old	5951
13-68	N	N	N	N	N	N	N	13-68	5952
12-20 weeks	N	N	N	N	N	N	N	12-20 weeks	5953
12-18 months	N	N	N	N	N	N	N	12-18 months	5954
23-38 years	N	N	N	N	N	N	N	23-38 years	5955
4-6 months	N	N	N	N	N	N	N	4-6 months	5956
7 weeks	N	N	N	N	N	N	N	7 weeks	5957
21-57 years	N	N	N	N	N	N	N	21-57 years	5958
7 months old	N	N	N	N	N	N	N	7 months old	5959
68 to 77 years	N	N	N	N	N	N	N	68 to 77 years	5960
16 to 65 years	N	N	N	N	N	N	N	16 to 65 years	5961
6-7 months	N	N	N	N	N	N	N	6-7 months	5962
22-80 years	N	N	N	N	N	N	N	22-80 years	5963
23.6-53.8	N	N	N	N	N	N	N	23.6-53.8	5964
21-49 years	N	N	N	N	N	N	N	21-49 years	5965
>10 weeks	N	N	N	N	N	N	N	>10 weeks	5966
5 months	N	N	N	N	N	N	N	5 months	5967
28-70 years	N	N	N	N	N	N	N	28-70 years	5968
40.6 +/- 11.4 years	N	N	N	N	N	N	N	40.6 +/- 11.4 years	5969
Adult	N	N	N	N	N	N	Y	adult	5970
Adult	N	N	N	N	N	N	Y	adult	5971
12-18 weeks	N	N	N	N	N	N	N	12-18 weeks	5972
under 7 years	N	N	N	N	N	N	N	under 7 years	5973
NULL	N	N	N	N	N	N	Y	null	5974
66 to 70 years	N	N	N	N	N	N	N	66 to 70 years	5975
14 to 45	N	N	N	N	N	N	N	14 to 45	5976
7 to 9 weeks	N	N	N	N	N	N	N	7 to 9 weeks	5977
24 to 35 years	N	N	N	N	N	N	N	24 to 35 years	5978
6 months	N	N	N	N	N	N	N	6 months	5979
calves	N	N	N	N	N	N	N	calves	5980
Steer	N	N	N	N	N	N	Y	steer	5981
33 to 53 years	N	N	N	N	N	N	N	33 to 53 years	5982
4-6 months	N	N	N	N	N	N	N	4-6 months	5983
26 to 37 years	N	N	N	N	N	N	N	26 to 37 years	5984
28–36 years	Y	N	N	N	N	N	N	28-36 years	5985
24 weeks	N	N	N	N	N	N	N	24 weeks	5986
3 months	N	N	N	N	N	N	N	3 months	5987
6 weeks	N	N	N	N	N	N	N	6 weeks	5988
20 weeks	N	N	N	N	N	N	N	20 weeks	5989
adult	N	N	N	N	N	N	N	adult	5990
5 years	N	N	N	N	N	N	N	5 years	5991
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	5992
7-13 years	N	N	N	N	N	N	N	7-13 years	5993
53-75 years	N	N	N	N	N	N	N	53-75 years	5994
59-100 years	N	N	N	N	N	N	N	59-100 years	5995
49-57 years	N	N	N	N	N	N	N	49-57 years	5996
adult	N	N	N	N	N	N	N	adult	5997
5-13 years	N	N	N	N	N	N	N	5-13 years	5998
17-57 years	N	N	N	N	N	N	N	17-57 years	5999
16-24 years	N	N	N	N	N	N	N	16-24 years	6000
6-12 months	N	N	N	N	N	N	N	6-12 months	6001
30 to 77 years	N	N	N	N	N	N	N	30 to 77 years	6002
13 years	N	N	N	N	N	N	N	13 years	6003
5-6 months	N	N	N	N	N	N	N	5-6 months	6004
26-84 years	N	N	N	N	N	N	N	26-84 years	6005
5 to 6 weeks	N	N	N	N	N	N	N	5 to 6 weeks	6006
17 to 82 years	N	N	N	N	N	N	N	17 to 82 years	6007
59-84 years old	N	N	N	N	N	N	N	59-84 years old	6008
37-69 years	N	N	N	N	N	N	N	37-69 years	6009
7 months	N	N	N	N	N	N	N	7 months	6010
26-61 years	N	N	N	N	N	N	N	26-61 years	6011
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	6012
75.9 +/- 7.5 years	N	N	N	N	N	N	N	75.9 +/- 7.5 years	6013
5-17 years	N	N	N	N	N	N	N	5-17 years	6014
Elderly	N	N	N	N	N	N	Y	elderly	6015
3.1-18 years	N	N	N	N	N	N	N	3.1-18 years	6016
19-55 years	N	N	N	N	N	N	N	19-55 years	6017
14-79 years	N	N	N	N	N	N	N	14-79 years	6018
17 months	N	N	N	N	N	N	N	17 months	6019
5 to 7 years	N	N	N	N	N	N	N	5 to 7 years	6020
1-38 years	N	N	N	N	N	N	N	1-38 years	6021
5 to 6 weeks	N	N	N	N	N	N	N	5 to 6 weeks	6022
10 weeks	N	N	N	N	N	N	N	10 weeks	6023
38-68 years	N	N	N	N	N	N	N	38-68 years	6024
27-47 years	N	N	N	N	N	N	N	27-47 years	6025
31and 73 years	N	N	N	N	N	N	N	31and 73 years	6026
32 to 97 years	N	N	N	N	N	N	N	32 to 97 years	6027
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	6028
33 to 81 years	N	N	N	N	N	N	N	33 to 81 years	6029
29 to 75 years	N	N	N	N	N	N	N	29 to 75 years	6030
49-66 years	N	N	N	N	N	N	N	49-66 years	6031
adult	N	N	N	N	N	N	N	adult	6032
11 to 82	N	N	N	N	N	N	N	11 to 82	6033
7-30 years	N	N	N	N	N	N	N	7-30 years	6034
17 to 84 years	N	N	N	N	N	N	N	17 to 84 years	6035
17 to 84	N	N	N	N	N	N	N	17 to 84	6036
38-72 years	N	N	N	N	N	N	N	38-72 years	6037
6 to 10 weeks	N	N	N	N	N	N	N	6 to 10 weeks	6038
6 to 10 weeks	N	N	N	N	N	N	N	6 to 10 weeks	6039
10-14 weeks	N	N	N	N	N	N	N	10-14 weeks	6040
20 to 75	N	N	N	N	N	N	N	20 to 75	6041
54-71 years	N	N	N	N	N	N	N	54-71 years	6042
30-82 years old	N	N	N	N	N	N	N	30-82 years old	6043
15 to 78 years	N	N	N	N	N	N	N	15 to 78 years	6044
NULL	N	N	N	N	N	N	Y	null	6045
Less than 20 years	N	N	N	N	N	N	Y	less than 20 years	6046
mature	N	N	N	N	N	N	N	mature	6047
NULL	N	N	N	N	N	N	Y	null	6048
20-95 years old	N	N	N	N	N	N	N	20-95 years old	6049
18–73	Y	N	N	N	N	N	N	18-73	6050
17-74 years	N	N	N	N	N	N	N	17-74 years	6051
middle aged	N	N	N	N	N	N	N	middle aged	6052
38-73	N	N	N	N	N	N	N	38-73	6053
2-14 years	N	N	N	N	N	N	N	2-14 years	6054
NULL	N	N	N	N	N	N	Y	null	6055
2 and 6 years	N	N	N	N	N	N	N	2 and 6 years	6056
40 to 66 years	N	N	N	N	N	N	N	40 to 66 years	6057
43 to 83 years	N	N	N	N	N	N	N	43 to 83 years	6058
23-47 years	N	N	N	N	N	N	N	23-47 years	6059
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	6060
21-90 years old	N	N	N	N	N	N	N	21-90 years old	6061
63 years	N	N	N	N	N	N	N	63 years	6062
NULL	N	N	N	N	N	N	Y	null	6063
21 months-45 years	N	N	N	N	N	N	N	21 months-45 years	6064
19 to 79 years	N	N	N	N	N	N	N	19 to 79 years	6065
16-66 years	N	N	N	N	N	N	N	16-66 years	6066
22 to 55 years	N	N	N	N	N	N	N	22 to 55 years	6067
Median age 33 years	N	N	N	N	N	N	Y	median age 33 years	6068
NULL	N	N	N	N	N	N	Y	null	6069
49-76 years	N	N	N	N	N	N	N	49-76 years	6070
32-79 years	N	N	N	N	N	N	N	32-79 years	6071
54 to 70 years	N	N	N	N	N	N	N	54 to 70 years	6072
25-75 years	N	N	N	N	N	N	N	25-75 years	6073
40-84 years	N	N	N	N	N	N	N	40-84 years	6074
19-75 years	N	N	N	N	N	N	N	19-75 years	6075
34-61 years old	N	N	N	N	N	N	N	34-61 years old	6076
37 to 78 years	N	N	N	N	N	N	N	37 to 78 years	6077
30-63 years	N	N	N	N	N	N	N	30-63 years	6078
8-9 weeks	N	N	N	N	N	N	N	8-9 weeks	6079
29-71 years	N	N	N	N	N	N	N	29-71 years	6080
average age = 12.32 years	N	N	N	N	N	N	N	average age = 12.32 years	6081
7 month	N	N	N	N	N	N	N	7 month	6082
35-70 years	N	N	N	N	N	N	N	35-70 years	6083
