before_char_normalization	en-dash	em-dash	plus-minus	strip_whitespace	remove_multi_whitespace	convert_to_ascii	lowercase	after_char_normalization	index
5-6 months	N	N	N	N	N	N	N	5-6 months	318
6-10 wk	N	N	N	N	N	N	N	6-10 wk	319
2 months or older	N	N	N	N	N	N	N	2 months or older	320
28-65 years	N	N	N	N	N	N	N	28-65 years	321
6 to 8-week old	N	N	N	N	N	N	N	6 to 8-week old	322
8 weeks old	N	N	N	N	N	N	N	8 weeks old	323
5-6 weeks	N	N	N	N	N	N	N	5-6 weeks	324
8-10 weeks old	N	N	N	N	N	N	N	8-10 weeks old	325
21 - 85 yo	N	N	N	N	N	N	N	21 - 85 yo	326
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	327
17-57	N	N	N	N	N	N	N	17-57	328
22-55 years	N	N	N	N	N	N	N	22-55 years	329
35.4 yrs average	N	N	N	N	N	N	N	35.4 yrs average	330
5-8 weeks	N	N	N	N	N	N	N	5-8 weeks	331
>6 wk	N	N	N	N	N	N	N	>6 wk	332
18-72	N	N	N	N	N	N	N	18-72	333
6 months-1.1 year	N	N	N	N	N	N	N	6 months-1.1 year	334
NULL	N	N	N	N	N	N	Y	null	335
6 weeks	N	N	N	N	N	N	N	6 weeks	336
4 months- 4 years	N	N	N	N	N	N	N	4 months- 4 years	337
10-16 weeks old	N	N	N	N	N	N	N	10-16 weeks old	338
36-51 years old	N	N	N	N	N	N	N	36-51 years old	339
15-50 years old	N	N	N	N	N	N	N	15-50 years old	340
16-48 years old	N	N	N	N	N	N	N	16-48 years old	341
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	342
21-55 years old	N	N	N	N	N	N	N	21-55 years old	343
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	344
5, 8, 11 or 18 weeks	N	N	N	N	N	N	N	5, 8, 11 or 18 weeks	345
4-6 wk	N	N	N	N	N	N	N	4-6 wk	346
30-65 years	N	N	N	N	N	N	N	30-65 years	347
NULL	N	N	N	N	N	N	Y	null	348
3-5 weeks	N	N	N	N	N	N	N	3-5 weeks	349
15 weeks	N	N	N	N	N	N	N	15 weeks	350
NULL	N	N	N	N	N	N	Y	null	351
6-8 wks	N	N	N	N	N	N	N	6-8 wks	352
newborn	N	N	N	N	N	N	N	newborn	353
6 weeks-old	N	N	N	N	N	N	N	6 weeks-old	354
25-50 years-old	N	N	N	N	N	N	N	25-50 years-old	355
6-8 week	N	N	N	N	N	N	N	6-8 week	356
17-86 years old	N	N	N	N	N	N	N	17-86 years old	357
12 weeks	N	N	N	N	N	N	N	12 weeks	358
48 years old	N	N	N	N	N	N	N	48 years old	359
18-60 years old	N	N	N	N	N	N	N	18-60 years old	360
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	361
35	N	N	N	N	N	N	N	35	362
46 years	N	N	N	N	N	N	N	46 years	363
28 years	N	N	N	N	N	N	N	28 years	364
6 to 10 weeks	N	N	N	N	N	N	N	6 to 10 weeks	365
18-61	N	N	N	N	N	N	N	18-61	366
7-12 weeks	N	N	N	N	N	N	N	7-12 weeks	367
6 to 10 weeks	N	N	N	N	N	N	N	6 to 10 weeks	368
4-10 weeks	N	N	N	N	N	N	N	4-10 weeks	369
4-10 weeks	N	N	N	N	N	N	N	4-10 weeks	370
18-54 years	N	N	N	N	N	N	N	18-54 years	371
13-133 months	N	N	N	N	N	N	N	13-133 months	372
